E11	E22	P11	P12	P21	P22	S11	S12	S21	S22
-9.99500000000001e-04	-9.99500000000001e-04	-0.00000000000000e+00	-0.00000000000000e+00	-0.00000000000000e+00	-0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00
-9.95000000000000e-03	-9.95000000000000e-03	-3.89603610722611e-03	1.41137182163442e-06	2.70519219199261e-06	-4.88332063110907e-03	-0.00225076539383011	1.42562810266103e-06	2.73251736564910e-06	-4.93264710213037e-03
-1.98000000000000e-02	-1.98000000000000e-02	-6.97694251894056e-03	2.76647089070037e-05	3.97363901412107e-05	-6.27786548508932e-03	-0.0055964102152884	2.82292948030650e-05	4.05473368787864e-05	-6.40598518886665e-03
-2.95500000000000e-02	-2.95500000000000e-02	-9.08581091759158e-03	1.93954118682760e-04	1.48152770082012e-04	-6.83491395887526e-03	-0.0087887529729362	1.99952699672949e-04	1.52734814517538e-04	-7.04630305038687e-03
-3.92000000000000e-02	-3.92000000000000e-02	-1.08451309197737e-02	3.49647149987130e-04	2.00495199089942e-04	-7.16943245053720e-03	-0.0115462236175891	3.64215781236594e-04	2.08849165718690e-04	-7.46815880264291e-03
-4.87500000000000e-02	-4.87500000000000e-02	-1.27345614307914e-02	5.67458668380839e-04	2.99033790513874e-04	-7.44848116110877e-03	-0.0141056605355682	5.97324914085094e-04	3.14772411067236e-04	-7.84050648537765e-03
-5.82000000000000e-02	-5.82000000000000e-02	-1.50389419472820e-02	7.89863843187195e-04	4.17365125783239e-04	-7.78407065706736e-03	-0.0166433536181967	8.40280684241697e-04	4.44005452960892e-04	-8.28092623092272e-03
-6.75500000000000e-02	-6.75500000000000e-02	-1.58872912114306e-02	1.04936059247676e-03	9.21251917886180e-04	-8.24364152406821e-03	-0.0190959163418348	1.12834472309329e-03	9.90593460092666e-04	-8.86413067104109e-03
-7.68000000000000e-02	-7.68000000000000e-02	-1.42689455962393e-02	1.52574925881651e-03	2.27548138139645e-03	-8.08453731885435e-03	-0.0213361069648162	1.65842310740925e-03	2.47334932760484e-03	-8.78754056397212e-03
-8.59500000000000e-02	-8.59500000000000e-02	-1.31940107924412e-02	1.78290267524400e-03	3.28478209251998e-03	-8.29502734557013e-03	-0.0234264450055167	1.95923370905935e-03	3.60965065112085e-03	-9.11541466546169e-03
-9.50000000000000e-02	-9.50000000000000e-02	-1.21507252416334e-02	1.97862299613922e-03	4.20777346506374e-03	-8.32623112869846e-03	-0.0255549323021134	2.19846999571025e-03	4.67530385007082e-03	-9.25136792077607e-03
-1.03950000000000e-01	-1.03950000000000e-01	-1.09422915238552e-02	2.05793077586495e-03	5.19257639628749e-03	-8.19654533200171e-03	-0.0277296936251066	2.31228177063478e-03	5.83435550144661e-03	-9.20960149663113e-03
-1.12800000000000e-01	-1.12800000000000e-01	-9.80678132866460e-03	1.97655427022556e-03	6.06535141379813e-03	-8.22916041776160e-03	-0.0299161358644742	2.24608439798359e-03	6.89244478840697e-03	-9.35131865654727e-03
-1.21550000000000e-01	-1.21550000000000e-01	-8.81889844634955e-03	1.54198278183336e-03	6.73912381832783e-03	-8.50335002755009e-03	-0.0320739419847896	1.77239400210731e-03	7.74611933141130e-03	-9.77396554890815e-03
-1.30200000000000e-01	-1.30200000000000e-01	-7.95686277374846e-03	1.19668691158713e-03	7.38747974786848e-03	-8.78380914371831e-03	-0.0341352993487127	1.39149640882225e-03	8.59009273007963e-03	-1.02137315624632e-02
-1.38750000000000e-01	-1.38750000000000e-01	-7.13546110365577e-03	7.96633116638382e-04	8.03088699705032e-03	-9.05415204759753e-03	-0.036000279434513	9.37215431339272e-04	9.44810234947097e-03	-1.06519435854089e-02
-1.47200000000000e-01	-1.47200000000000e-01	-6.27032284003590e-03	1.24695476613320e-04	8.62023288379393e-03	-9.49364210260045e-03	-0.0375558658477427	1.48446995968238e-04	1.02621820045166e-02	-1.13019548840482e-02
-1.55550000000000e-01	-1.55550000000000e-01	-5.25385574277676e-03	-4.45274279433309e-04	9.27586558426283e-03	-9.82057837778839e-03	-0.0387040818279148	-5.36475035461818e-04	1.11757416677865e-02	-1.18320221419137e-02
-1.63800000000000e-01	-1.63800000000000e-01	-4.32507978537248e-03	-1.43459175842716e-03	9.81137963394669e-03	-1.02961212031502e-02	-0.0389420494392859	-1.74950214442337e-03	1.19650971145691e-02	-1.25562453696953e-02
-1.71950000000000e-01	-1.71950000000000e-01	-3.38301927763045e-03	-2.37071728996115e-03	1.03170127701085e-02	-1.07108887784362e-02	-0.0384341894525052	-2.92681146908784e-03	1.27370528026031e-02	-1.32233194795508e-02
-1.80000000000000e-01	-1.80000000000000e-01	-2.32814560664758e-03	-3.53012191545648e-03	1.08364966016210e-02	-1.12402449405098e-02	-0.0371817703577633	-4.41265239432061e-03	1.35456207520262e-02	-1.40503061756373e-02

