gam	E12	P11	P12	P21	P22	S11	S12	S21	S22
0.00575959	0.00287978	-0	-0	-0	-0	0	0	0	0
0.0575959	0.028782	2.54441e-07	3.94289e-05	3.72329e-05	3.27798e-05	-1.8924e-06	3.75389e-05	3.72948e-05	3.28343e-05
0.115192	0.0574686	-8.71698e-06	0.000163363	0.000150025	0.000178439	-2.60755e-05	0.000142717	0.000151026	0.000179629
0.172788	0.0859646	-2.33304e-05	0.000369498	0.000337039	0.000303249	-8.21531e-05	0.000316573	0.000342133	0.000307833
0.230383	0.114175	-3.72943e-05	0.000651644	0.000597449	0.000248269	-0.000177425	0.000593413	0.000613662	0.000255007
0.287979	0.142008	-3.07417e-05	0.00100557	0.000923734	0.00019618	-0.000304364	0.000947463	0.000963407	0.000204606
0.345575	0.169369	1.04377e-06	0.00142956	0.00131312	0.000125677	-0.00047171	0.00138432	0.00139563	0.000133574
0.403171	0.196169	0.000232174	0.00192549	0.0017438	0.000168928	-0.000511621	0.00185343	0.00189581	0.000183653
0.460767	0.222318	0.000538377	0.00248876	0.00222069	0.000163169	-0.000563984	0.00240776	0.00247925	0.000182167
0.518363	0.247729	0.000935317	0.00313196	0.00274289	0.000149894	-0.000629201	0.00304646	0.00315772	0.000172564
0.575959	0.27232	0.00141695	0.00386486	0.00330411	0.000138684	-0.000728759	0.0037748	0.0039397	0.000165362
0.633555	0.296007	0.00200803	0.00471587	0.00390302	0.000149979	-0.00085902	0.0046057	0.00484288	0.000186095
0.69115	0.318712	0.002727	0.00570315	0.00453242	0.000167627	-0.00102254	0.00556448	0.00588233	0.000217552
0.748746	0.34036	0.00360204	0.00695574	0.00519456	0.000352928	-0.00122504	0.00662778	0.00709113	0.000481784
0.806342	0.36088	0.00466768	0.00854934	0.00589317	0.000628073	-0.00147767	0.00789439	0.00851438	0.000907431
0.863938	0.380203	0.00582323	0.0110333	0.00670336	0.00140598	-0.0020254	0.00938714	0.0103216	0.00216488
0.921534	0.398265	0.00704842	0.0144615	0.00762714	0.0023054	-0.00299997	0.0114242	0.0126152	0.00381311
0.97913	0.415006	0.00792283	0.0192799	0.00896232	0.00283773	-0.00541451	0.0150569	0.0160688	0.00508786
1.03673	0.430371	0.00878407	0.0259431	0.0106017	0.00329023	-0.0091425	0.0203796	0.0208269	0.00646358
1.09432	0.444309	0.010282	0.0326182	0.0121669	0.00300901	-0.0132908	0.0267883	0.0265276	0.00656059
1.15192	0.456773	0.0207731	0.0539854	0.0102264	0.00828911	-0.00219577	0.0353678	0.0251425	0.0203795
