eps	sig_1e-1	sig_1e-2	sig_1e-3	sig_1e-4
0.000	0.000	0.000	0.000	0.000
0.002	3.896	3.857	3.600	3.150
0.004	7.787	7.673	7.000	6.175
0.006	11.673	11.451	10.267	9.179
0.008	15.555	15.191	13.444	12.180
0.010	19.433	18.897	16.563	15.180
0.012	23.307	22.568	19.642	18.180
0.014	27.176	26.208	22.695	21.180
0.016	31.041	29.817	25.730	24.180
0.018	34.901	33.397	28.753	27.180
0.020	38.757	36.950	31.769	30.180
0.022	42.609	40.476	34.779	33.180
0.024	45.291	43.977	37.786	36.180
0.026	46.060	45.491	40.791	39.180
0.028	46.828	46.182	43.794	42.180
0.030	47.595	46.868	45.359	45.036
0.032	48.361	47.551	45.959	45.636
0.034	49.127	48.229	46.560	46.236
0.036	49.891	48.904	47.160	46.836
0.038	50.655	49.575	47.760	47.436
0.040	51.418	50.243	48.360	48.036
0.042	52.180	50.908	48.960	48.636
0.044	52.941	51.569	49.560	49.236
0.046	53.702	52.228	50.160	49.836
0.048	54.461	52.884	50.760	50.436
0.050	55.220	53.537	51.360	51.036
0.052	55.978	54.188	51.960	51.636
0.054	56.736	54.836	52.560	52.236
0.056	57.492	55.482	53.160	52.836
0.058	58.248	56.125	53.760	53.436
0.060	59.003	56.767	54.360	54.036
0.062	59.757	57.407	54.960	54.636
0.064	60.511	58.044	55.560	55.236
0.066	61.263	58.680	56.160	55.836
0.068	62.015	59.315	56.760	56.436
0.070	62.766	59.947	57.360	57.036
0.072	63.517	60.578	57.960	57.636
0.074	64.266	61.208	58.560	58.236
0.076	65.015	61.836	59.160	58.836
0.078	65.764	62.463	59.760	59.436
0.080	66.511	63.089	60.360	60.036
0.082	67.258	63.713	60.960	60.636
0.084	68.004	64.336	61.560	61.236
0.086	68.749	64.958	62.160	61.836
0.088	69.493	65.579	62.760	62.436
0.090	70.237	66.199	63.360	63.036
0.092	70.980	66.818	63.960	63.636
0.094	71.723	67.437	64.560	64.236
0.096	72.464	68.054	65.160	64.836
0.098	73.205	68.670	65.760	65.436
0.100	73.946	69.286	66.360	66.036
