u1	f1	u2	f2	u3	f3
0.0000	0.6734	0.0000	1.5199	0.0000	1.3000
0.0400	2.0832	0.0400	2.8145	0.0400	1.4665
0.0801	4.0262	0.0801	4.7162	0.0801	2.5205
0.1201	6.5760	0.1201	7.3416	0.1201	4.4633
0.1602	9.0646	0.1602	9.7892	0.1602	6.1651
0.2002	11.8416	0.2002	12.0916	0.2002	7.5928
0.2402	14.4597	0.2402	14.4750	0.2402	10.1916
0.2803	17.2708	0.2803	17.4520	0.2803	12.0717
0.3203	19.8750	0.3203	19.7032	0.3203	14.7024
0.3604	22.8528	0.3604	21.6510	0.3604	17.0239
0.4004	25.6065	0.4004	24.4855	0.4004	19.1008
0.4404	28.5853	0.4404	27.3121	0.4404	21.2855
0.4805	31.0064	0.4805	29.2609	0.4805	24.0641
0.5205	33.4641	0.5205	32.2627	0.5205	26.3328
0.5606	36.2669	0.5606	34.6491	0.5606	29.0590
0.6006	39.1145	0.6006	37.2681	0.6006	31.6133
0.6406	42.1959	0.6406	39.6946	0.6406	33.6171
0.6807	44.6217	0.6807	42.3972	0.6807	36.2006
0.7207	47.1996	0.7207	45.0385	0.7207	39.1040
0.7608	50.4581	0.7608	47.7985	0.7608	41.4922
0.8008	52.9837	0.8008	49.6050	0.8008	44.1253
0.8408	55.6089	0.8408	52.3076	0.8408	46.3504
0.8809	58.2050	0.8809	54.1603	0.8809	48.2976
0.9209	60.6463	0.9209	56.5409	0.9209	50.6603
0.9610	63.0603	0.9610	59.1592	0.9610	53.1625
1.0010	65.7625	1.0010	61.4657	1.0010	55.5154
1.0410	68.5219	1.0410	63.4691	1.0410	57.8180
1.0811	70.3245	1.0811	66.0713	1.0811	60.3901
1.1211	72.9061	1.1211	68.3680	1.1211	62.5246
1.1612	75.5505	1.1612	70.1702	1.1612	64.9469
1.2012	78.2293	1.2012	72.5183	1.2012	66.9702
1.2412	80.6541	1.2412	74.4201	1.2412	69.3118
1.2813	82.7183	1.2813	75.8985	1.2813	71.8336
1.3213	84.6201	1.3213	76.5598	1.3213	73.4377
1.3614	86.4011	1.3614	77.4418	1.3614	74.8393
1.4014	88.2819	1.4014	78.7849	1.4014	76.2010
1.4414	88.8000	1.4414	79.6831	1.4414	77.0824
1.4815	90.1465	1.4815	80.6264	1.4815	77.4610
1.5215	91.1427	1.5215	81.2186	1.5215	77.9614
1.5616	92.4489	1.5616	81.9897	1.5616	79.0699
1.6016	93.0628	1.6016	83.0086	1.6016	80.2448
1.6416	93.5000	1.6416	83.7101	1.6416	80.6252
1.6817	94.4181	1.6817	84.2822	1.6817	82.0373
1.7217	95.2460	1.7217	84.4121	1.7217	82.7544
1.7618	96.1111	1.7618	85.8463	1.7618	83.5460
1.8018	97.1296	1.8018	85.9177	1.8018	83.7284
1.8418	98.0106	1.8418	87.0471	1.8418	84.6823
1.8819	98.7445	1.8819	87.8828	1.8819	85.1652
1.9219	99.4830	1.9219	88.3975	1.9219	86.3963
1.9620	100.3161	1.9620	88.8000	1.9620	86.9146
2.0020	101.0333	2.0020	89.5191	2.0020	87.5493
2.0420	101.2671	2.0420	90.0508	2.0420	87.7668
2.0821	101.7676	2.0821	91.4889	2.0821	89.1341
2.1221	103.0721	2.1221	91.8373	2.1221	89.3163
2.1622	103.3841	2.1622	91.9692	2.1622	90.1713
2.2022	104.0377	2.2022	92.9393	2.2022	91.0385
2.2422	104.5692	2.2422	93.3849	2.2422	91.4532
2.2823	105.2393	2.2823	93.9000	2.2823	92.0535
2.3223	105.4850	2.3223	94.9125	2.3223	92.5541
2.3624	106.0556	2.3624	95.4852	2.3624	93.1550
2.4024	106.7708	2.4024	95.7413	2.4024	93.7553
2.4424	107.1856	2.4424	96.0719	2.4424	94.1413
2.4825	107.7853	2.4825	96.7586	2.4825	95.5276
2.5225	108.1000	2.5225	97.3720	2.5225	95.8858
2.5626	109.2035	2.5626	97.7722	2.5626	95.9140
2.6026	109.7457	2.6026	97.7137	2.6026	96.3306
2.6426	109.8000	2.6426	98.2351	2.6426	96.8726
2.6827	110.3470	2.6827	99.1603	2.6827	97.5866
2.7227	111.3000	2.7227	99.2253	2.7227	97.7000
2.7628	111.1000	2.7628	99.5378	2.7628	97.4523
2.8028	111.8623	2.8028	100.1244	2.8028	98.6227
2.8428	112.0876	2.8428	100.0000	2.8428	98.6244
2.8829	112.9391	2.8829	101.1934	2.8829	99.1876
2.9229	113.1000	2.9229	101.1363	2.9229	99.6632
2.9630	113.6529	2.9630	101.0772	2.9630	100.0758
3.0030	113.6116	3.0030	101.8535	3.0030	100.6000
3.0430	113.9545	3.0430	102.2656	3.0430	100.9533
3.0831	114.4768	3.0831	102.9783	3.0831	100.7000
3.1231	115.0779	3.1231	102.5551	3.1231	101.2774
3.1632	115.0783	3.1632	103.1675	3.1632	101.5889
3.2032	115.0000	3.2032	103.0321	3.2032	102.1109
3.2432	115.3792	3.2432	103.4799	3.2432	101.7893
3.2833	116.2693	3.2833	103.8098	3.2833	102.0900
3.3233	116.1900	3.3233	103.6201	3.3233	102.8000
3.3634	115.8000	3.3634	103.9906	3.3634	102.8101
3.4034	116.3096	3.4034	104.2092	3.4034	103.2506
3.4434	116.5094	3.4434	104.4000	3.4434	103.6092
3.4835	116.9633	3.4835	104.3185	3.4835	103.7000
3.5235	117.4820	3.5235	104.6259	3.5235	103.6277
3.5636	117.3088	3.5636	104.6663	3.5636	103.6091
3.6036	117.6914	3.6036	104.2409	3.6036	103.5911
3.6436	117.5000	3.6436	104.6746	3.6436	103.8740
3.6837	117.5836	3.6837	104.9000	3.6837	104.2000
3.7237	117.8338	3.7237	105.3919	3.7237	104.4834
3.7638	117.8844	3.7638	105.0221	3.7638	104.4081
3.8038	117.5152	3.8038	104.9924	3.8038	104.4158
3.8438	117.7926	3.8438	104.9925	3.8438	104.2306
3.8839	118.2713	3.8839	105.2000	3.8839	104.3850
3.9239	117.8210	3.9239	105.0934	3.9239	104.8796
3.9640	118.0932	3.9640	105.2064	3.9640	104.6141
4.0040	118.0934	4.0040	105.4753	4.0040	104.9863
4.0440	118.3000	4.0440	105.4000	4.0440	105.1000
4.0841	118.4000	4.0841	105.1173	4.0841	104.8880
4.1241	118.6821	4.1241	105.4061	4.1241	104.4058
4.1642	118.6058	4.1642	104.9118	4.1642	104.3061
4.2042	117.8335	4.2042	105.2887	4.2042	104.6059
4.2442	117.7946	4.2442	105.4851	4.2442	104.9943
4.2843	118.0740	4.2843	105.0053	4.2843	104.8891
4.3243	118.1950	4.3243	104.8899	4.3243	104.8106
4.3644	118.4048	4.3644	105.1956	4.3644	104.4899
4.4044	118.0909	4.4044	104.9125	4.4044	104.6951
4.4444	118.6912	4.4444	104.7045	4.4444	104.3094
4.4845	118.1084	4.4845	104.8829	4.4845	104.2045
4.5245	117.8159	4.5245	104.4144	4.5245	104.9872
