u1	f1	u2	f2	u3	f3
0.000	0.000	0.000	0.000	0.000	0.000
0.100	7.594	0.100	7.613	0.100	7.585
0.200	15.054	0.200	15.093	0.200	15.036
0.300	22.365	0.300	22.425	0.300	22.338
0.400	29.526	0.400	29.608	0.400	29.492
0.500	36.534	0.500	36.642	0.500	36.497
0.600	43.385	0.600	43.525	0.600	43.350
0.700	50.072	0.700	50.254	0.700	50.049
0.800	56.580	0.800	56.825	0.800	56.591
0.900	62.883	0.900	63.233	0.900	62.968
1.000	68.919	1.000	69.464	1.000	69.166
1.100	74.564	1.100	75.481	1.100	75.142
1.200	79.637	1.200	81.116	1.200	80.717
1.300	84.053	1.300	85.742	1.300	85.397
1.400	87.881	1.400	89.173	1.400	88.963
1.500	91.117	1.500	92.012	1.500	91.815
1.600	93.779	1.600	94.640	1.600	94.440
1.700	96.304	1.700	97.131	1.700	96.941
1.800	98.729	1.800	99.513	1.800	99.223
1.900	100.778	1.900	101.256	1.900	101.343
2.000	102.230	2.000	102.411	2.000	102.445
2.100	103.178	2.100	103.588	2.100	103.461
2.200	104.388	2.200	104.684	2.200	104.541
2.300	105.734	2.300	105.898	2.300	105.758
2.400	107.068	2.400	107.182	2.400	107.002
2.500	108.395	2.500	108.524	2.500	108.276
2.600	109.697	2.600	109.773	2.600	109.529
2.700	110.932	2.700	110.974	2.700	110.741
2.800	112.121	2.800	112.160	2.800	111.893
2.900	113.272	2.900	113.321	2.900	112.991
3.000	114.375	3.000	114.417	3.000	114.028
3.100	115.424	3.100	115.448	3.100	115.015
3.200	116.420	3.200	116.421	3.200	115.946
3.300	117.321	3.300	117.331	3.300	116.821
3.400	118.206	3.400	118.177	3.400	117.633
3.500	119.031	3.500	118.934	3.500	118.388
3.600	119.697	3.600	119.595	3.600	119.069
3.700	120.252	3.700	120.176	3.700	119.661
3.800	120.736	3.800	120.677	3.800	120.216
3.900	121.194	3.900	121.140	3.900	120.663
4.000	121.585	4.000	121.486	4.000	120.987
4.100	121.945	4.100	121.757	4.100	121.253
4.200	122.263	4.200	121.958	4.200	121.499
4.300	122.557	4.300	122.150	4.300	121.706
4.400	122.802	4.400	122.259	4.400	121.869
4.500	123.019	4.500	122.330	4.500	122.021
4.600	123.167	4.600	122.403	4.600	122.116
4.700	123.343	4.700	122.492	4.700	122.195
4.800	123.410	4.800	122.573	4.800	122.205
4.900	123.451	4.900	122.502	4.900	122.107
5.000	123.446	5.000	122.265	5.000	121.904
5.100	123.340	5.100	122.044	5.100	121.717
5.200	123.173	5.200	121.884	5.200	121.529
5.300	123.010	5.300	121.655	5.300	121.368
5.400	122.745	5.400	121.444	5.400	121.198
5.500	122.407	5.500	121.228	5.500	121.008
5.600	122.011	5.600	121.042	5.600	120.825
5.700	121.446	5.700	120.759	5.700	120.570
5.800	120.791	5.800	120.410	5.800	120.207
5.900	119.747	5.900	119.991	5.900	119.814
6.000	118.827	6.000	119.496	6.000	119.405
6.100	117.766	6.100	118.856	6.100	118.991
6.200	116.510	6.200	118.305	6.200	118.568
6.300	115.527	6.300	117.822	6.300	118.070
6.400	114.657	6.400	117.381	6.400	117.434
6.500	113.804	6.500	116.817	6.500	116.714
6.600	112.972	6.600	116.300	6.600	115.779
6.700	112.117	6.700	115.706	6.700	114.883
6.800	111.233	6.800	114.878	6.800	114.085
6.900	110.312	6.900	113.898	6.900	113.134
7.000	109.460	7.000	113.014	7.000	112.168
7.100	108.644	7.100	112.096	7.100	111.146
7.200	107.878	7.200	111.422	7.200	110.182
7.300	107.092	7.300	110.703	7.300	109.094
7.400	106.288	7.400	109.848	7.400	107.972
7.500	105.418	7.500	108.940	7.500	106.895
7.600	104.521	7.600	107.986	7.600	105.895
7.700	103.621	7.700	106.934	7.700	104.899
7.800	102.653	7.800	105.935	7.800	103.926
7.900	101.675	7.900	105.035	7.900	102.997
8.000	100.667	8.000	104.134	8.000	102.068
8.100	99.684	8.100	103.124	8.100	101.084
8.200	98.693	8.200	101.994	8.200	100.154
8.300	97.735	8.300	100.887	8.300	99.307
8.400	96.802	8.400	99.787	8.400	98.502
8.500	95.886	8.500	98.700	8.500	97.751
8.600	95.003	8.600	97.640	8.600	97.038
8.700	94.172	8.700	96.521	8.700	96.332
8.800	93.329	8.800	95.382	8.800	95.668
8.900	92.513	8.900	94.207	8.900	95.067
9.000	91.736	9.000	93.066	9.000	94.408
9.100	90.989	9.100	91.973	9.100	93.753
9.200	90.238	9.200	90.934	9.200	93.099
9.300	89.593	9.300	89.962	9.300	92.366
9.400	89.113	9.400	89.053	9.400	91.618
9.500	88.675	9.500	88.249	9.500	90.839
9.600	88.257	9.600	87.508	9.600	90.020
9.700	87.938	9.700	86.884	9.700	89.310
