u_el	f_el	u_ev	f_ev	u_ep	f_ep
0.000	0.000	0.000	0.000	0.000	0.000
0.090	18.956	0.090	24.701	0.090	19.077
0.180	37.744	0.180	49.049	0.180	37.986
0.270	56.320	0.270	73.006	0.270	56.684
0.360	74.682	0.360	96.574	0.360	75.170
0.450	92.831	0.450	119.757	0.450	93.443
0.540	110.765	0.540	142.558	0.540	111.502
0.630	128.483	0.630	164.979	0.630	129.346
0.720	145.985	0.720	187.025	0.720	146.975
0.810	163.269	0.810	208.697	0.810	164.387
0.900	180.333	0.900	229.997	0.900	181.581
0.990	197.178	0.990	250.928	0.990	198.557
1.080	213.801	1.080	271.493	1.080	215.313
1.170	230.201	1.170	291.692	1.170	231.848
1.260	246.377	1.260	311.529	1.260	248.160
1.350	262.327	1.350	331.004	1.350	264.247
1.440	278.050	1.440	350.118	1.440	280.110
1.530	293.544	1.530	368.875	1.530	295.745
1.620	308.807	1.620	387.273	1.620	311.151
1.710	323.837	1.710	405.315	1.710	326.323
1.800	338.632	1.800	423.001	1.800	341.263
1.890	353.191	1.890	440.332	1.890	355.953
1.980	367.510	1.980	457.308	1.980	370.393
2.070	381.588	2.070	473.929	2.070	384.598
2.160	395.423	2.160	490.196	2.160	398.469
2.250	409.010	2.250	506.108	2.250	412.011
2.340	422.348	2.340	521.664	2.340	425.210
2.430	435.433	2.430	536.863	2.430	437.608
2.520	448.261	2.520	551.704	2.520	449.267
2.610	460.827	2.610	566.185	2.610	459.559
2.700	473.125	2.700	580.302	2.700	467.876
2.790	485.148	2.790	594.052	2.790	473.698
2.880	496.886	2.880	607.428	2.880	478.947
2.970	508.326	2.970	620.423	2.970	483.664
3.060	519.451	3.060	633.027	3.060	487.826
3.150	530.242	3.150	645.230	3.150	491.423
3.240	540.676	3.240	657.017	3.240	494.535
3.330	550.735	3.330	668.376	3.330	497.949
3.420	560.415	3.420	679.294	3.420	501.210
3.510	569.726	3.510	689.766	3.510	504.645
3.600	578.693	3.600	699.791	3.600	508.266
3.690	587.346	3.690	709.381	3.690	511.749
3.780	595.635	3.780	718.552	3.780	515.022
