t	lf	fx	fy	fz	enEl	enU	enQ	enVi	enHa	enTot	diss
0	0	0	0	0	0	0	0	0	0	0	0
1.2	0.0125	-0.00412885	-0.00390314	1.22674	0.0195944	0.0154467	0.00414769	0.0251597	0	0.0447541	0.00290313
2.4	0.025	-0.00824845	-0.00734213	2.35315	0.0779578	0.0613494	0.0166084	0.0925839	0	0.170542	0.00781726
3.6	0.0375	-0.0124879	-0.0104019	3.40781	0.174449	0.137027	0.0374221	0.1956	0	0.370049	0.013046
4.8	0.05	-0.0169266	-0.0131026	4.40854	0.308408	0.241757	0.0666518	0.330179	0	0.638587	0.0185038
6	0.0625	-0.0216257	-0.0154258	5.36485	0.479159	0.374769	0.10439	0.493094	0	0.972253	0.0242823
7.2	0.075	-0.026642	-0.0173222	6.28198	0.686	0.535228	0.150772	0.68154	0	1.36754	0.0304161
8.4	0.0875	-0.0320375	-0.0187086	7.16289	0.928202	0.722214	0.205988	0.893048	0	1.82125	0.0368835
9.6	0.1	-0.0378909	-0.0194491	8.00924	1.205	0.934682	0.270321	1.12545	0	2.33045	0.0436359
10.8	0.1125	-0.0443173	-0.0193115	8.82172	1.51559	1.17139	0.344205	1.37682	0	2.89242	0.050618
12	0.125	-0.0515079	-0.0178593	9.60002	1.85909	1.43073	0.428359	1.64547	0	3.50456	0.0577807
13.2	0.1375	-0.0598181	-0.0141812	10.3422	2.23445	1.71034	0.52411	1.92985	0	4.1643	0.0650922
14.4	0.15	-0.0699323	-0.00621414	11.0428	2.64038	2.0062	0.634177	2.22852	0	4.86889	0.0725598
15.6	0.1625	-0.0829619	0.0106586	11.6891	3.07483	2.31039	0.764441	2.54009	0	5.61492	0.0802828
16.8	0.175	-0.0993458	0.0437624	12.2574	3.53437	2.60841	0.925957	2.86306	0	6.39743	0.0884948
18	0.1875	-0.115254	0.0946593	12.7241	4.01416	2.88306	1.1311	3.19524	0	7.20941	0.0973072
19.2	0.2	-0.123335	0.147464	13.0912	4.50997	3.12713	1.38284	3.53325	0	8.04321	0.106285
20.4	0.2125	-0.121006	0.182778	13.3839	5.01964	3.34602	1.67363	3.87361	0	8.89326	0.11482
