t	lf	fx	fy	fz	enEl	enU	enQ	enVi	enHa	enTot	diss
0	0	0	0	0	0	0	0	0	0	0	0
12	0.0166667	0.000387466	0.00195825	2.68147	0.05	0.0338623	0.0161378	0.0382633	0	0.0882634	0.000985279
24	0.0333333	0.000867524	0.00369564	5.04013	0.199113	0.134539	0.064574	0.131729	0	0.330842	0.00240559
36	0.05	0.00144512	0.00533191	7.21364	0.445996	0.300645	0.145351	0.26516	0	0.711157	0.00386136
48	0.0666667	0.00213081	0.00691474	9.26088	0.789293	0.530768	0.258525	0.431007	0	1.2203	0.00535321
60	0.0833333	0.00293501	0.00847264	11.2125	1.22763	0.823458	0.40417	0.623649	0	1.85128	0.00693322
72	0.1	0.00386896	0.0100256	13.0856	1.75961	1.17723	0.582379	0.838101	0	2.59771	0.00863951
84	0.116667	0.00494521	0.0115896	14.8904	2.38384	1.59057	0.793263	1.0698	0	3.45364	0.0104896
96	0.133333	0.00617818	0.0131793	16.6333	3.09888	2.06192	1.03696	1.31462	0	4.41349	0.0124866
108	0.15	0.00758449	0.0148092	18.3185	3.90329	2.58967	1.31361	1.56886	0	5.47215	0.0146258
120	0.166667	0.00918352	0.016495	19.9491	4.79561	3.17219	1.62342	1.82929	0	6.6249	0.016899
132	0.183333	0.0109978	0.0182543	21.5273	5.77435	3.80776	1.96659	2.09309	0	7.86744	0.0192965
144	0.2	0.0130539	0.0201072	23.0551	6.83801	4.49464	2.34337	2.35783	0	9.19584	0.021809
156	0.216667	0.0153823	0.0220776	24.5341	7.98506	5.23102	2.75404	2.62143	0	10.6065	0.0244277
168	0.233333	0.0180192	0.0241935	25.9658	9.21394	6.01501	3.19892	2.88212	0	12.0961	0.0271448
180	0.25	0.0210065	0.0264891	27.3514	10.5231	6.84466	3.67841	3.13841	0	13.6615	0.0299535
192	0.266667	0.0243931	0.0290056	28.692	11.9108	7.71791	4.19293	3.38908	0	15.2999	0.0328483
204	0.283333	0.0282362	0.0317937	29.9887	13.3756	8.63261	4.743	3.63309	0	17.0087	0.0358242
216	0.3	0.0326021	0.0349157	31.2424	14.9157	9.58649	5.3292	3.86964	0	18.7853	0.0388776
228	0.316667	0.0375681	0.0384489	32.4536	16.5294	10.5771	5.95224	4.09806	0	20.6274	0.0420052
240	0.333333	0.0432237	0.0424894	33.6231	18.2148	11.6019	6.61292	4.31785	0	22.5327	0.0452049
252	0.35	0.0496722	0.0471561	34.7513	19.9702	12.658	7.3122	4.52864	0	24.4989	0.048475
264	0.366667	0.0570314	0.0525963	35.8385	21.7937	13.7425	8.05122	4.73018	0	26.5239	0.0518144
276	0.383333	0.0654348	0.0589908	36.8847	23.6833	14.852	8.83129	4.92233	0	28.6056	0.0552226
288	0.4	0.0750306	0.0665581	37.8899	25.6368	15.9828	9.65399	5.10504	0	30.7418	0.0586996
300	0.416667	0.0859787	0.0755575	38.8539	27.6521	17.1309	10.5211	5.27835	0	32.9304	0.0622458
312	0.433333	0.0984448	0.0862862	39.7763	29.7267	18.2919	11.4349	5.4424	0	35.1691	0.0658618
324	0.45	0.11259	0.0990696	40.6565	31.8583	19.4609	12.3974	5.59737	0	37.4557	0.0695486
336	0.466667	0.128667	0.11415	41.494	34.0441	20.6327	13.4115	5.74352	2.10793e-08	39.7877	0.0733145
348	0.483333	0.14691	0.131814	42.2866	36.2791	21.8004	14.4787	5.8808	2.20773e-05	42.16	0.0776988
360	0.5	0.170327	0.149164	43.0311	38.5546	22.9555	15.599	6.00975	0.000257303	44.5646	0.0836275
372	0.516667	0.196176	0.168786	43.7244	40.86	24.0889	16.7711	6.13114	0.00111952	46.9923	0.0916014
384	0.533333	0.23192	0.183434	44.3627	43.1775	25.1884	17.9891	6.2455	0.00316738	49.4261	0.10421
396	0.55	0.286786	0.183921	44.9393	45.487	26.2392	19.2479	6.35503	0.00727969	51.8494	0.121575
408	0.566667	0.351294	0.177381	45.4574	47.7929	27.2406	20.5523	6.46072	0.0147382	54.2684	0.135131
420	0.583333	0.416682	0.170198	45.926	50.1043	28.1985	21.9058	6.56265	0.0265417	56.6934	0.143568
432	0.6	0.493199	0.166844	46.349	52.4209	29.114	23.3069	6.65961	0.0430231	59.1235	0.151098
444	0.616667	0.579126	0.172171	46.7332	54.7372	29.9884	24.7488	6.75111	0.0642056	61.5525	0.159956
456	0.633333	0.658836	0.180761	47.0828	57.0485	30.8224	26.2261	6.83728	0.0900538	63.9758	0.171162
468	0.65	0.723274	0.190877	47.4001	59.3498	31.616	27.7338	6.91697	0.12045	66.3872	0.183666
480	0.666667	0.775961	0.203585	47.6789	61.6246	32.3606	29.264	6.992	0.155581	68.7722	0.201477
492	0.683333	0.817352	0.220442	47.9238	63.8679	33.0554	30.8125	7.06338	0.196041	71.1273	0.219137
504	0.7	0.852842	0.243675	48.1436	66.0856	33.7049	32.3807	7.13158	0.242467	73.4596	0.233528
516	0.716667	0.879117	0.267558	48.3445	68.2887	34.3186	33.9701	7.19558	0.295158	75.7794	0.243372
528	0.733333	0.892039	0.28755	48.5309	70.4868	34.9045	35.5823	7.25479	0.354089	78.0957	0.249459
540	0.75	0.9006	0.303081	48.7065	72.6899	35.4712	37.2187	7.30902	0.41883	80.4177	0.252436
552	0.766667	0.905668	0.313957	48.8778	74.9036	36.0262	38.8774	7.35664	0.488685	82.7489	0.254093
564	0.783333	0.9113	0.319836	49.0457	77.1322	36.5741	40.5582	7.39713	0.562901	85.0923	0.254429
576	0.8	0.915284	0.327862	49.2121	79.3774	37.1169	42.2604	7.4307	0.64075	87.4488	0.256104
588	0.816667	0.911581	0.336433	49.376	81.6332	37.6546	43.9786	7.45753	0.721807	89.8125	0.259316
600	0.833333	0.907351	0.346091	49.535	83.9007	38.1889	45.7118	7.47677	0.805665	92.1831	0.26292
