t	lf	fx	fy	fz	enEl	enU	enQ	enVi	enHa	enTot	diss
0	0	0	0	0	0	0	0	0	0	0	0
12	0.0166667	-0.00107542	0.000780088	0.972696	0.017639	0.00298989	0.0146491	0.0134533	0	0.0310923	0.00032765
24	0.0333333	-0.00204079	0.00148128	1.83125	0.0702684	0.0118557	0.0584127	0.0462902	0	0.116559	0.000768523
36	0.05	-0.00294723	0.00214526	2.62367	0.157462	0.0264465	0.131015	0.0931479	0	0.25061	0.00118183
48	0.0666667	-0.0038173	0.00278794	3.37154	0.278799	0.0466165	0.232183	0.151382	0	0.430181	0.0015681
60	0.0833333	-0.00466259	0.00341746	4.08616	0.433865	0.0722244	0.361641	0.219031	0	0.652896	0.00194605
72	0.1	-0.00548954	0.00403835	4.77399	0.622251	0.103134	0.519118	0.294358	0	0.91661	0.00232946
84	0.116667	-0.00630184	0.00465313	5.43891	0.843554	0.139213	0.704341	0.375778	0	1.21933	0.0027248
96	0.133333	-0.00710169	0.00526332	6.08341	1.09737	0.180333	0.91704	0.461854	0	1.55923	0.00313347
108	0.15	-0.00789047	0.00586981	6.70922	1.38332	0.226373	1.15695	0.551311	0	1.93463	0.00355411
120	0.166667	-0.00866913	0.00647321	7.31761	1.701	0.277214	1.42379	0.643026	0	2.34403	0.00398403
132	0.183333	-0.00943833	0.00707391	7.90964	2.05004	0.33274	1.7173	0.736027	0	2.78606	0.0044201
144	0.2	-0.0101986	0.00767225	8.48618	2.43005	0.392842	2.03721	0.829477	0	3.25953	0.00485921
156	0.216667	-0.0109504	0.00826846	9.04802	2.84067	0.457412	2.38326	0.92266	0	3.76333	0.00529849
168	0.233333	-0.0116942	0.00886276	9.59587	3.28153	0.526347	2.75518	1.01497	0	4.2965	0.00573537
180	0.25	-0.0124302	0.00945536	10.1304	3.75225	0.599548	3.15271	1.10591	0	4.85816	0.00616764
192	0.266667	-0.0131589	0.0100464	10.6522	4.2525	0.676917	3.57558	1.19505	0	5.44754	0.00659343
204	0.283333	-0.0138805	0.0106361	11.1619	4.7819	0.758361	4.02354	1.28204	0	6.06394	0.00701118
216	0.3	-0.0145953	0.0112246	11.66	5.34012	0.84379	4.49633	1.36661	0	6.70673	0.00741963
228	0.316667	-0.0153036	0.011812	12.1471	5.9268	0.933116	4.99369	1.44853	0	7.37533	0.00781776
240	0.333333	-0.0160057	0.0123985	12.6236	6.54161	1.02625	5.51536	1.52764	0	8.06925	0.00820477
252	0.35	-0.0167019	0.0129843	13.0899	7.18421	1.12312	6.06109	1.6038	0	8.78801	0.00858009
264	0.366667	-0.0173923	0.0135693	13.5467	7.85426	1.22363	6.63063	1.67693	0	9.53119	0.00894327
276	0.383333	-0.0180771	0.0141538	13.9941	8.55145	1.32771	7.22373	1.74696	0	10.2984	0.00929405
288	0.4	-0.0187567	0.0147379	14.4327	9.27544	1.43529	7.84014	1.81387	0	11.0893	0.00963228
300	0.416667	-0.0194312	0.0153217	14.8628	10.0259	1.54629	8.47962	1.87764	0	11.9036	0.00995792
312	0.433333	-0.0201007	0.0159052	15.2849	10.8025	1.66064	9.14191	1.93831	0	12.7409	0.010271
324	0.45	-0.0207656	0.0164887	15.6991	11.605	1.77827	9.82677	1.99588	0	13.6009	0.0105717
336	0.466667	-0.0214258	0.0170721	16.1058	12.4331	1.89911	10.534	2.05042	0	14.4835	0.0108601
348	0.483333	-0.0220817	0.0176556	16.5054	13.2864	2.0231	11.2633	2.10197	0	15.3883	0.0111366
360	0.5	-0.0227334	0.0182392	16.8981	14.1646	2.15017	12.0144	2.15061	0	16.3152	0.0114014
372	0.516667	-0.023381	0.0188231	17.2842	15.0674	2.28027	12.7872	2.1964	0	17.2638	0.0116548
384	0.533333	-0.0240246	0.0194072	17.664	15.9946	2.41332	13.5813	2.23943	0	18.2341	0.0118972
396	0.55	-0.0246643	0.0199918	18.0377	16.9459	2.54927	14.3966	2.27978	0	19.2257	0.012129
408	0.566667	-0.0253004	0.0205768	18.4055	17.9209	2.68807	15.2328	2.31754	0	20.2384	0.0123505
420	0.583333	-0.0259329	0.0211622	18.7677	18.9194	2.82966	16.0897	2.35281	0	21.2722	0.0125622
432	0.6	-0.0265619	0.0217483	19.1245	19.9411	2.97398	16.9671	2.38567	0	22.3267	0.0127645
444	0.616667	-0.0271875	0.0223349	19.476	20.9857	3.12098	17.8647	2.41621	0	23.4019	0.0129578
456	0.633333	-0.0278098	0.0229223	19.8226	22.0529	3.27061	18.7823	2.44454	0	24.4975	0.0131425
468	0.65	-0.0284289	0.0235103	20.1643	23.1425	3.42281	19.7197	2.47075	0	25.6133	0.013319
480	0.666667	-0.0292172	0.0241616	20.5016	24.2542	3.57754	20.6766	2.49492	8.35659e-08	26.7491	0.0135034
492	0.683333	-0.0292213	0.0245311	20.8352	25.3873	3.73474	21.6526	2.51714	1.83756e-06	27.9044	0.0138075
504	0.7	-0.0292014	0.0244568	21.162	26.5405	3.89425	22.6463	2.53752	1.49645e-05	29.0781	0.0144764
516	0.716667	-0.0300703	0.0250952	21.4827	27.7117	4.0558	23.6559	2.55615	7.44076e-05	30.2679	0.0157807
528	0.733333	-0.0318753	0.0282397	21.7952	28.8987	4.21914	24.6796	2.57316	0.000254045	31.4721	0.0176688
540	0.75	-0.0337437	0.0303418	22.1013	30.0978	4.38369	25.7141	2.58868	0.000671086	32.6871	0.0206709
552	0.766667	-0.0349478	0.0310503	22.4024	31.3041	4.54877	26.7554	2.60287	0.0015048	33.9085	0.0251161
564	0.783333	-0.0341081	0.027748	22.6986	32.514	4.71425	27.7998	2.61588	0.0029828	35.1329	0.0306143
576	0.8	-0.033749	0.0235252	22.9873	33.725	4.88022	28.8447	2.62783	0.00535898	36.3581	0.0366196
588	0.816667	-0.0355016	0.0238192	23.2696	34.9361	5.04684	29.8893	2.63883	0.00890426	37.5839	0.042562
600	0.833333	-0.0365707	0.0240839	23.5476	36.1479	5.21406	30.9339	2.64907	0.0138915	38.8109	0.0479694
612	0.85	-0.0384153	0.0264778	23.8158	37.3598	5.38135	31.9785	2.65875	0.0205809	40.0392	0.0531656
624	0.866667	-0.0396486	0.028415	24.0763	38.5685	5.54783	33.0206	2.66807	0.0291853	41.2657	0.0592688
636	0.883333	-0.0364307	0.032931	24.3258	39.7706	5.71276	34.0578	2.67706	0.0399134	42.4876	0.0662172
648	0.9	-0.0309349	0.035684	24.5634	40.9654	5.87582	35.0896	2.68576	0.0530226	43.7042	0.0730294
660	0.916667	-0.0280176	0.0390582	24.7859	42.1525	6.03716	36.1154	2.6942	0.0687822	44.9155	0.0796538
672	0.933333	-0.0278767	0.0434304	24.9949	43.3332	6.1972	37.136	2.70246	0.0874203	46.1231	0.0854814
684	0.95	-0.0308172	0.0452085	25.1903	44.5095	6.35643	38.1531	2.71062	0.109045	47.3292	0.0903617
696	0.966667	-0.0364824	0.0453472	25.3769	45.6824	6.51527	39.1672	2.71859	0.133604	48.5346	0.0949899
708	0.983333	-0.0404953	0.0430987	25.5597	46.854	6.67405	40.18	2.72625	0.161	49.7413	0.0988275
720	1	-0.039794	0.0413978	25.7407	48.0257	6.83289	41.1928	2.73354	0.191122	50.9503	0.102245
732	0.983333	-0.0379681	0.0397283	24.5551	46.0234	6.54722	39.4762	2.20284	0.191122	48.4173	0.0128237
