lambda	F11	F12	F13	F21	F22	F23	F31	F32	F33	J	P11	P12	P13	P21	P22	P23	P31	P32	P33	p	StrEn	t(1)	t(2)	d
0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	-0	0	inf	inf	inf
0.002	1.002	0	0	0	1	0	0	0	0.99937515	1.0013739	1.987512e-05	-1.0547614e-07	1.0647976e-07	-1.1641934e-07	4.8625596e-06	6.4900922e-08	9.7853955e-08	7.1335595e-08	4.8146502e-09	-8.2474983e-06	1.9811201e-08	1.9873602e-05	1.9921708e-05	0.0024147397
0.004	1.004	0	0	0	1	0	0	0	0.99873862	1.0027336	4.0067457e-05	-1.884416e-07	2.0609334e-07	-2.0961735e-07	9.7558324e-06	1.3124574e-07	1.8869843e-07	1.4402863e-07	9.8361765e-09	-1.6611042e-05	7.9686832e-08	4.0064299e-05	4.0096747e-05	0.00080922671
0.006	1.006	0	0	0	1	0	0	0	0.99809114	1.0040797	6.0520256e-05	-2.529518e-07	2.9891858e-07	-2.8362762e-07	1.467246e-05	1.9872154e-07	2.7279353e-07	2.1777014e-07	1.5043408e-08	-2.5069253e-05	1.8019819e-07	6.0515347e-05	6.0533312e-05	0.00029678691
0.008	1.008	0	0	0	1	0	0	0	0.99743312	1.0054126	8.1191264e-05	-3.02257e-07	3.851157e-07	-3.4170632e-07	1.9605973e-05	2.6705276e-07	3.504254e-07	2.922839e-07	2.0422424e-08	-3.3605886e-05	3.2182008e-07	8.1184492e-05	8.1189038e-05	5.599074e-05
0.01	1.01	0	0	0	1	0	0	0	0.99676469	1.0067323	0.00010204806	-3.3895538e-07	4.6492984e-07	-3.8647425e-07	2.4550475e-05	3.3600641e-07	4.2192431e-07	3.6733225e-07	2.5962863e-08	-4.2208166e-05	5.0495434e-07	0.00010203931	0.00010203144	-7.7219984e-05
0.012	1.012	0	0	0	1	0	0	0	0.99608578	1.0080388	0.00012306496	-3.6512233e-07	5.3867116e-07	-4.2003876e-07	2.9500443e-05	4.0538034e-07	4.8765581e-07	4.4270488e-07	3.1655718e-08	-5.0865688e-05	7.2994582e-07	0.00012305413	0.00012303478	-0.0001572785
0.014	1.014	0	0	0	1	0	0	0	0.9953961	1.0093316	0.00014422099	-3.8241944e-07	6.0668889e-07	-4.4409796e-07	3.4450588e-05	4.749877e-07	5.4800264e-07	5.1820382e-07	3.7492027e-08	-5.956969e-05	9.9709347e-07	0.00014420796	0.00014417806	-0.00020738412
0.016	1.016	0	0	0	1	0	0	0	0.99469523	1.0106104	0.00016549846	-3.9218349e-07	6.6934825e-07	-4.6002664e-07	3.9395759e-05	5.4464339e-07	6.0334722e-07	5.9363011e-07	4.3462057e-08	-6.831256e-05	1.306658e-06	0.0001654831	0.00016544355	-0.00023907642
0.018	1.018	0	0	0	1	0	0	0	0.99398256	1.0118742	0.00018688207	-3.9549703e-07	7.2701305e-07	-4.6894485e-07	4.4330895e-05	6.1415354e-07	6.5405828e-07	6.6877351e-07	4.9554786e-08	-7.7087507e-05	1.6588677e-06	0.00018686426	0.00018681592	-0.00025874007
0.02	1.02	0	0	0	1	0	0	0	0.99325738	1.0131225	0.00020835827	-3.9324315e-07	7.8003423e-07	-4.7177133e-07	4.9250996e-05	6.8330725e-07	7.0048223e-07	7.4340438e-07	5.5757547e-08	-8.5888343e-05	2.0539217e-06	0.00020833787	0.00020828159	-0.00027019594
