lambda	F11	F12	F13	F21	F22	F23	F31	F32	F33	J	P11	P12	P13	P21	P22	P23	P31	P32	P33	p	StrEn	t(1)	t(2)	d
0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	-0	0	inf	inf	inf
-0.002	0.998	0	0	-0	1	-0	-0	-0	1.0008774	0.99887569	-1.4808318e-05	1.3187415e-07	-1.0994854e-07	1.2182389e-07	-4.8100383e-06	-9.4569276e-08	-1.0140484e-07	-9.1177828e-08	3.5901763e-10	6.5393324e-06	1.4923201e-08	-1.4808474e-05	-1.4686802e-05	-0.0082844848
-0.004	0.996	0	0	-0	1	-0	-0	-0	1.0017433	0.99773629	-2.8814357e-05	3.3214028e-07	-3.0817722e-07	3.1460526e-07	-9.4724209e-06	-2.1053488e-07	-2.1052055e-07	-1.8514129e-07	2.5406155e-09	1.2761412e-05	5.8747207e-08	-2.881544e-05	-2.8437444e-05	-0.013292215
-0.006	0.994	0	0	-0	1	-0	-0	-0	1.002583	0.99656751	-4.0021756e-05	6.939091e-07	-1.0696373e-06	6.9123188e-07	-1.1892406e-05	-3.6138075e-07	-3.6967372e-07	-3.3384645e-07	1.7701942e-08	1.729882e-05	1.2867298e-07	-4.002904e-05	-3.9112364e-05	-0.023436992
-0.008	0.992	0	0	-0	1	-0	-0	-0	1.0033893	0.99536215	-4.6085103e-05	6.0948099e-07	-2.104307e-06	6.289243e-07	-9.5953522e-06	-4.9972822e-07	-5.8323598e-07	-5.1497073e-07	4.0424763e-08	1.8546677e-05	2.1519666e-07	-4.6101299e-05	-4.5946127e-05	-0.0033772732
-0.01	0.99	0	0	-0	1	-0	-0	-0	1.0041856	0.99414379	-5.1100513e-05	5.7879624e-07	-2.9110355e-06	6.111272e-07	-6.5030524e-06	-6.4080127e-07	-8.0432569e-07	-6.6772444e-07	5.835664e-08	1.9181736e-05	3.1245748e-07	-5.1123615e-05	-5.1043014e-05	-0.0015790843
-0.012	0.988	0	0	-0	1	-0	-0	-0	1.0049728	0.99291311	-5.5808258e-05	5.785111e-07	-3.613282e-06	6.1964376e-07	-3.2724835e-06	-7.7542984e-07	-1.0425947e-06	-8.0801749e-07	7.3949346e-08	1.9668931e-05	4.1936872e-07	-5.5837173e-05	-5.5755996e-05	-0.0014559351
-0.014	0.986	0	0	-0	1	-0	-0	-0	1.0057497	0.99166917	-6.0337047e-05	5.9010831e-07	-4.2626644e-06	6.3778162e-07	-7.4040198e-09	-9.0488773e-07	-1.3019598e-06	-9.4123969e-07	8.829012e-08	2.0085387e-05	5.3548147e-07	-6.0371089e-05	-6.0280542e-05	-0.0015020946
-0.016	0.984	0	0	-0	1	-0	-0	-0	1.0065151	0.99041081	-6.4726998e-05	6.0696751e-07	-4.8841244e-06	6.5973953e-07	3.2580081e-06	-1.0304045e-06	-1.585134e-06	-1.0696652e-06	1.0189918e-07	2.0455697e-05	6.6049088e-07	-6.4765665e-05	-6.466459e-05	-0.0015630569
-0.018	0.982	0	0	-0	1	-0	-0	-0	1.0072675	0.9891367	-6.8991977e-05	6.2618029e-07	-5.4922603e-06	6.830516e-07	6.5066416e-06	-1.1527632e-06	-1.8945881e-06	-1.1944399e-06	1.1507134e-07	2.0790088e-05	7.9413983e-07	-6.9034849e-05	-6.8923587e-05	-0.0016142869
