lambda	F11	F12	F13	F21	F22	F23	F31	F32	F33	J	P11	P12	P13	P21	P22	P23	P31	P32	P33	p	StrEn	t(1)	t(2)	d
0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	-0	0	inf	inf	inf
-0.002	0.998	0	0	-0	1.000896	-0	-0	-0	1.000753	0.99964636	-5.7670934e-07	-2.1998588e-09	8.4303825e-09	2.9045169e-09	6.5250711e-10	-2.0257488e-08	1.1440704e-08	-2.1046504e-08	-6.8431457e-10	1.9224705e-07	5.9686081e-10	-5.7671926e-07	-5.5692088e-07	-0.035549704
-0.004	0.996	0	0	-0	1.0016589	-0	-0	-0	1.0015239	0.99917262	-1.0509027e-06	-6.8284756e-09	8.4026477e-09	2.1595669e-09	1.4163834e-09	-3.76812e-08	1.2636883e-08	-3.8738428e-08	-1.9281592e-09	3.5047149e-07	2.2276835e-09	-1.0506982e-06	-1.043597e-06	-0.0068045658
-0.006	0.994	0	0	-0	1.0023901	-0	-0	-0	1.0022747	0.99864222	-1.5014566e-06	-1.0256208e-08	1.4957509e-08	8.4541149e-10	1.8729376e-09	-5.0998872e-08	1.9580613e-08	-5.2140125e-08	-2.8739339e-09	5.008192e-07	4.7712487e-09	-1.501064e-06	-1.4956537e-06	-0.0036173267
-0.008	0.992	0	0	-0	1.0031014	-0	-0	-0	1.0030104	0.99807215	-1.9517689e-06	-1.2685506e-08	2.3295077e-08	-3.6401539e-10	2.1192252e-09	-5.8771474e-08	2.7872085e-08	-5.9927703e-08	-3.6553795e-09	6.511017e-07	8.2102985e-09	-1.9511843e-06	-1.9443963e-06	-0.003491056
-0.01	0.99	0	0	-0	1.0037985	-0	-0	-0	1.003731	0.99746824	-2.4044975e-06	-1.4246511e-08	3.2630979e-08	-1.2053722e-09	2.1920192e-09	-5.9829746e-08	3.6953933e-08	-6.0948239e-08	-4.4048609e-09	8.022368e-07	1.2548834e-08	-2.4036837e-06	-2.3951465e-06	-0.003564361
-0.012	0.988	0	0	-0	1.004483	-0	-0	-0	1.004437	0.99683257	-2.858076e-06	-1.4506996e-08	4.2571179e-08	-1.0513966e-09	2.1126832e-09	-5.2785571e-08	4.6530025e-08	-5.3829052e-08	-5.1859952e-09	9.5371643e-07	1.7790885e-08	-2.8569813e-06	-2.8467803e-06	-0.0035833453
-0.014	0.986	0	0	-0	1.0051543	-0	-0	-0	1.0051277	0.99616412	-3.3097471e-06	-1.2339283e-08	5.2604646e-08	1.3524554e-09	1.8949187e-09	-3.5597061e-08	5.6128422e-08	-3.6537561e-08	-6.03634e-09	1.1046295e-06	2.3935955e-08	-3.3083175e-06	-3.2965659e-06	-0.003564795
-0.016	0.984	0	0	-0	1.0058098	-0	-0	-0	1.0058008	0.99545793	-3.7557757e-06	-5.3785354e-09	6.1745453e-08	8.4965299e-09	1.5456464e-09	-4.9407517e-09	6.4761931e-08	-5.752799e-09	-6.9858008e-09	1.2537386e-06	3.0977148e-08	-3.7539635e-06	-3.7406662e-06	-0.0035547903
-0.018	0.982	0	0	-0	1.0064432	-0	-0	-0	1.0064505	0.99470243	-4.1906239e-06	1.1162599e-08	6.7907575e-08	2.5356974e-08	1.0642279e-09	4.4533837e-08	7.0290565e-08	4.3880545e-08	-8.067784e-09	1.3992092e-06	3.889862e-08	-4.1884016e-06	-4.173363e-06	-0.0036034793
-0.02	0.98	0	0	-0	1.007043	-0	-0	-0	1.0070653	0.99387483	-4.6053473e-06	4.6575343e-08	6.6850019e-08	6.1574422e-08	4.3955911e-10	1.2026762e-07	6.8325691e-08	1.1981719e-07	-9.3293887e-09	1.538079e-06	4.76706e-08	-4.6027317e-06	-4.5856178e-06	-0.0037320882
-0.022	0.978	0	0	-0	1.00759	-0	-0	-0	1.007626	0.99293781	-4.9863963e-06	1.1610595e-07	5.1686005e-08	1.3300194e-07	-3.6674425e-10	2.2785261e-07	5.1692784e-08	2.2767698e-07	-1.0846605e-08	1.6658699e-06	5.7241091e-08	-4.9834681e-06	-4.9643852e-06	-0.003843963
-0.024	0.976	0	0	-0	1.0080616	-0	-0	-0	1.0081107	0.99184801	-5.3185015e-06	2.3164322e-07	1.6912932e-08	2.5203433e-07	-1.5946745e-09	3.5814817e-07	1.4490277e-08	3.5843048e-07	-1.2777567e-08	1.7776246e-06	6.7528141e-08	-5.3153555e-06	-5.297291e-06	-0.0034101405
-0.026	0.974	0	0	-0	1.0084527	-0	-0	-0	1.0085031	0.99058503	-5.5933803e-06	4.5896961e-07	-1.9609005e-08	4.8873039e-07	-1.150277e-09	4.8348356e-07	-2.4035232e-08	4.8335289e-07	-1.4870474e-08	1.8698004e-06	7.8430255e-08	-5.5905784e-06	-5.5730214e-06	-0.0031503629
-0.028	0.972	0	0	-0	1.0087497	-0	-0	-0	1.0088112	0.98914408	-5.8107419e-06	6.7805515e-07	-4.5225933e-08	7.1635534e-07	-3.0039869e-09	5.6285129e-07	-5.2516281e-08	5.6331281e-07	-1.8048514e-08	1.9439315e-06	8.9820227e-08	-5.8079777e-06	-5.7896938e-06	-0.0031579984
-0.03	0.97	0	0	-0	1.0089629	-0	-0	-0	1.0090308	0.98753249	-5.9716483e-06	9.1752422e-07	-4.1197068e-08	9.6658276e-07	-4.4000344e-09	5.8611539e-07	-5.0156855e-08	5.8686171e-07	-2.152072e-08	1.9991897e-06	1.0158903e-07	-5.9692419e-06	-5.9542307e-06	-0.0025211013
-0.032	0.968	0	0	-0	1.009113	-0	-0	-0	1.0091841	0.98579268	-6.0897649e-06	1.1354877e-06	-2.0289845e-08	1.1955848e-06	-5.6168549e-09	5.7483794e-07	-3.0116603e-08	5.7577045e-07	-2.4967038e-08	2.0401163e-06	1.1363715e-07	-6.0877844e-06	-6.0756664e-06	-0.0019945231
-0.034	0.966	0	0	-0	1.0092193	-0	-0	-0	1.0092905	0.9839632	-6.1776282e-06	1.3206561e-06	4.5267347e-09	1.391392e-06	-6.6491239e-09	5.4908329e-07	-5.7718843e-09	5.5015382e-07	-2.818238e-08	2.0708199e-06	1.258917e-07	-6.1760624e-06	-6.1659606e-06	-0.0016383258
-0.036	0.964	0	0	-0	1.009295	-0	-0	-0	1.0093634	0.98207064	-6.2440381e-06	1.4742671e-06	2.7655082e-08	1.5550662e-06	-7.5170471e-09	5.1913063e-07	1.706124e-08	5.2032229e-07	-3.1116759e-08	2.094224e-06	1.3830099e-07	-6.2428469e-06	-6.2340723e-06	-0.0014075208
-0.038	0.962	0	0	-0	1.0093488	-0	-0	-0	1.0094123	0.98013284	-6.2949608e-06	1.6009331e-06	4.7585554e-08	1.6912259e-06	-8.2471459e-09	4.8932143e-07	3.6784976e-08	4.9063509e-07	-3.3778107e-08	2.1123287e-06	1.5082799e-07	-6.2940955e-06	-6.2861791e-06	-0.0012593381
-0.04	0.96	0	0	-0	1.0093867	-0	-0	-0	1.0094435	0.97816212	-6.3345486e-06	1.7055177e-06	6.4303476e-08	1.8047973e-06	-8.8636632e-09	4.6131086e-07	5.3351831e-08	4.6275666e-07	-3.6190959e-08	2.1265344e-06	1.6344571e-07	-6.3339603e-06	-6.3265769e-06	-0.0011670373
-0.042	0.958	0	0	-0	1.009413	-0	-0	-0	1.0094616	0.97616717	-6.365739e-06	1.7922705e-06	7.8228027e-08	1.9001041e-06	-9.3870144e-09	4.3560696e-07	6.7168655e-08	4.3719947e-07	-3.8383036e-08	2.1378363e-06	1.7613429e-07	-6.3653829e-06	-6.3583038e-06	-0.0011133676
-0.044	0.956	0	0	-0	1.0094305	-0	-0	-0	1.0094699	0.97415419	-6.3906276e-06	1.8646692e-06	8.9842675e-08	1.980694e-06	-9.8339212e-09	4.1224012e-07	7.8713716e-08	4.1399564e-07	-4.0380791e-08	2.1469474e-06	1.8887892e-07	-6.3904654e-06	-6.3835288e-06	-0.0010866397
-0.046	0.954	0	0	-0	1.0094416	-0	-0	-0	1.0094707	0.97212764	-6.4107212e-06	1.9254829e-06	9.9581096e-08	2.0493966e-06	-1.0217912e-08	3.9105382e-07	8.8417802e-08	3.9298891e-07	-4.2207954e-08	2.1543823e-06	2.0166841e-07	-6.4107209e-06	-6.4038126e-06	-0.0010787794
-0.048	0.952	0	0	-0	1.0094476	-0	-0	-0	1.0094658	0.97009072	-6.4271128e-06	1.9768928e-06	1.0780207e-07	2.1084432e-06	-1.0549877e-08	3.7183119e-07	9.6637477e-08	3.7396191e-07	-4.3885221e-08	2.160516e-06	2.1449417e-07	-6.4272482e-06	-6.4202875e-06	-0.0010841775
-0.05	0.95	0	0	-0	1.0094498	-0	-0	-0	1.0094564	0.96804581	-6.4406043e-06	2.0206132e-06	1.1479329e-07	2.1595892e-06	-1.0838575e-08	3.5434922e-07	1.036584e-07	3.5669075e-07	-4.5430395e-08	2.1656244e-06	2.2734956e-07	-6.4408544e-06	-6.4337842e-06	-0.0010989227
-0.052	0.948	0	0	-0	1.009449	-0	-0	-0	1.0094434	0.96599465	-6.4517916e-06	2.0579954e-06	1.2078291e-07	2.2042191e-06	-1.1091074e-08	3.3840046e-07	1.0970672e-07	3.4096692e-07	-4.6858712e-08	2.1699138e-06	2.4022931e-07	-6.4521391e-06	-6.4449191e-06	-0.0011202715
-0.054	0.946	0	0	-0	1.0094458	-0	-0	-0	1.0094277	0.96393857	-6.4611228e-06	2.0901102e-06	1.2595153e-07	2.2434308e-06	-1.1313099e-08	3.2380029e-07	1.1496105e-07	3.2660472e-07	-4.8183191e-08	2.1735397e-06	2.5312923e-07	-6.4615537e-06	-6.4541554e-06	-0.0011462842
-0.056	0.944	0	0	-0	1.0094407	-0	-0	-0	1.0094096	0.96187856	-6.4689394e-06	2.117812e-06	1.304425e-07	2.2781006e-06	-1.1509322e-08	3.103878e-07	1.1956285e-07	3.1344217e-07	-4.9414983e-08	2.1766212e-06	2.6604593e-07	-6.4694423e-06	-6.4618459e-06	-0.0011755759
-0.058	0.942	0	0	-0	1.009434	-0	-0	-0	1.0093897	0.9598154	-6.4755052e-06	2.1417878e-06	1.3437016e-07	2.3089333e-06	-1.1683572e-08	2.9802409e-07	1.2362466e-07	3.0133939e-07	-5.0563665e-08	2.1792508e-06	2.7897662e-07	-6.4760706e-06	-6.4682625e-06	-0.0012071475
-0.06	0.94	0	0	-0	1.0094261	-0	-0	-0	1.0093683	0.95774968	-6.4810262e-06	2.1625945e-06	1.3782634e-07	2.3365004e-06	-1.1839019e-08	2.865897e-07	1.2723659e-07	2.9017597e-07	-5.1637499e-08	2.1815009e-06	2.9191898e-07	-6.4816463e-06	-6.4736173e-06	-0.0012402706
-0.062	0.938	0	0	-0	1.009417	-0	-0	-0	1.0093456	0.95568188	-6.4856652e-06	2.1806867e-06	1.4088525e-07	2.3612687e-06	-1.1978296e-08	2.7598192e-07	1.3047127e-07	2.7984833e-07	-5.2643645e-08	2.1834291e-06	3.0487109e-07	-6.4863335e-06	-6.4780777e-06	-0.0012744086
-0.064	0.936	0	0	-0	1.0094072	-0	-0	-0	1.0093218	0.95361239	-6.4895525e-06	2.1964387e-06	1.436073e-07	2.3836225e-06	-1.2103611e-08	2.6611225e-07	1.3338762e-07	2.702672e-07	-5.358834e-08	2.1850815e-06	3.1783129e-07	-6.4902633e-06	-6.4817776e-06	-0.0013091629
-0.066	0.934	0	0	-0	1.0093965	-0	-0	-0	1.0092971	0.95154149	-6.4927931e-06	2.2101609e-06	1.4604196e-07	2.4038806e-06	-1.2216827e-08	2.5690424e-07	1.3603378e-07	2.6135541e-07	-5.4477041e-08	2.1864957e-06	3.307982e-07	-6.4935418e-06	-6.4848247e-06	-0.0013442344
-0.068	0.932	0	0	-0	1.0093853	-0	-0	-0	1.0092717	0.94946945	-6.4954727e-06	2.2221123e-06	1.4823009e-07	2.422309e-06	-1.2319522e-08	2.4829162e-07	1.3844934e-07	2.5304602e-07	-5.5314547e-08	2.1877023e-06	3.4377059e-07	-6.4962552e-06	-6.4873067e-06	-0.0013793973
-0.07	0.93	0	0	-0	1.0093735	-0	-0	-0	1.0092457	0.94739645	-6.4976619e-06	2.2325108e-06	1.5020557e-07	2.4391316e-06	-1.2413044e-08	2.4021669e-07	1.4066705e-07	2.4528076e-07	-5.61051e-08	2.1887267e-06	3.5674742e-07	-6.4984748e-06	-6.4892958e-06	-0.0014144802
-0.072	0.928	0	0	-0	1.0093613	-0	-0	-0	1.0092191	0.94532268	-6.499419e-06	2.2415405e-06	1.5199671e-07	2.4545375e-06	-1.2498549e-08	2.3262903e-07	1.4271418e-07	2.3800866e-07	-5.685246e-08	2.18959e-06	3.6972777e-07	-6.5002593e-06	-6.4908517e-06	-0.0014493525
-0.074	0.926	0	0	-0	1.0093487	-0	-0	-0	1.009192	0.94324826	-6.5007931e-06	2.2493581e-06	1.5362729e-07	2.4686879e-06	-1.2577034e-08	2.2548443e-07	1.4461353e-07	2.3118502e-07	-5.755998e-08	2.1903101e-06	3.8271083e-07	-6.5016581e-06	-6.4920245e-06	-0.0014839141
-0.076	0.924	0	0	-0	1.0093357	-0	-0	-0	1.0091646	0.94117333	-6.5018254e-06	2.2560976e-06	1.5511739e-07	2.4817205e-06	-1.2649361e-08	2.1874392e-07	1.4638434e-07	2.2477041e-07	-5.823066e-08	2.1909018e-06	3.9569587e-07	-6.5027127e-06	-6.492856e-06	-0.0015180885
-0.078	0.922	0	0	-0	1.0093225	-0	-0	-0	1.0091368	0.93909796	-6.5025507e-06	2.2618745e-06	1.5648408e-07	2.493754e-06	-1.2716283e-08	2.1237304e-07	1.4804283e-07	2.1872996e-07	-5.8867192e-08	2.1913781e-06	4.0868226e-07	-6.5034584e-06	-6.4933819e-06	-0.0015518173
-0.08	0.92	0	0	-0	1.009309	-0	-0	-0	1.0091087	0.93702225	-6.502999e-06	2.2667885e-06	1.5774189e-07	2.5048908e-06	-1.2778455e-08	2.063412e-07	1.4960283e-07	2.1303272e-07	-5.9472004e-08	2.1917498e-06	4.216694e-07	-6.5039253e-06	-6.4936325e-06	-0.0015850561
