lambda	F11	F12	F13	F21	F22	F23	F31	F32	F33	J	P11	P12	P13	P21	P22	P23	P31	P32	P33	p	StrEn	t(1)	t(2)	d
0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	-0	0	inf	inf	inf
0.002	1.002	0.0016	0	0	0.99879175	0	0	0	0.99938665	1.0001755	6.7161563e-07	1.4737267e-06	-4.919872e-08	1.4650192e-06	6.6446322e-11	9.364022e-09	-5.3879431e-08	9.1624892e-09	-1.9313229e-10	-2.2382965e-07	1.8267425e-09	1.8506058e-06	1.8452823e-06	-0.0028849341
0.004	1.004	0.0032	0	0	0.99725328	0	0	0	0.9988725	1.0001134	1.3909137e-06	2.9292866e-06	-8.3048755e-08	2.9028795e-06	-3.0165767e-10	1.2025641e-08	-9.1110155e-08	1.2210363e-08	-6.4867142e-10	-4.6332111e-07	7.3811292e-09	3.734764e-06	3.7142688e-06	-0.005517969
0.006	1.006	0.0048	0	0	0.99556799	0	0	0	0.99828936	0.99982812	2.13208e-06	4.3443419e-06	-1.024568e-07	4.289808e-06	-1.8595274e-09	1.7014626e-08	-1.124665e-07	1.8233359e-08	-6.2409361e-10	-7.0986546e-07	1.6683818e-08	5.6093618e-06	5.57486e-06	-0.0061888144
0.008	1.008	0.0064	0	0	0.99380013	0	0	0	0.99757139	0.99931767	2.8881491e-06	5.6780197e-06	-1.1126798e-07	5.5857502e-06	-4.1150865e-09	4.1598879e-08	-1.2227953e-07	4.4265263e-08	2.2027189e-10	-9.6141808e-07	2.9680569e-08	7.4342506e-06	7.3828601e-06	-0.0069607837
0.01	1.01	0.008	0	0	0.99190067	0	0	0	0.99670949	0.99852318	3.6541663e-06	6.8514962e-06	-1.1045123e-07	6.7142189e-06	-6.0782622e-09	1.0879278e-07	-1.2178645e-07	1.130027e-07	2.421454e-09	-1.2168365e-06	4.6215258e-08	9.1404193e-06	9.0575968e-06	-0.0091439762
0.012	1.012	0.0096	0	0	0.98968977	0	0	0	0.99560565	0.99716482	4.4108779e-06	7.6352036e-06	-1.0022145e-07	7.4525352e-06	-4.8551301e-09	3.1810637e-07	-1.0905055e-07	3.2377941e-07	9.7840173e-09	-1.4719356e-06	6.5910957e-08	1.0518562e-05	1.0388015e-05	-0.012567066
0.014	1.014	0.0112	0	0	0.98699101	0	0	0	0.99407755	0.99488164	5.1410489e-06	7.7323641e-06	-5.4499321e-08	7.514393e-06	-7.7433449e-11	5.6096366e-07	-5.8068564e-08	5.672664e-07	2.0959503e-08	-1.7206437e-06	8.776732e-08	1.1310653e-05	1.1301388e-05	-0.00081978949
0.016	1.016	0.0128	0	0	0.98423147	0	0	0	0.99247713	0.99245646	5.8764514e-06	7.737666e-06	1.7600503e-08	7.4850643e-06	2.9167006e-09	6.5771162e-07	1.628745e-08	6.6398888e-07	2.7973479e-08	-1.9691139e-06	1.1111651e-07	1.2040143e-05	1.2047267e-05	0.00059139634
0.018	1.018	0.0144	0	0	0.98146561	0	0	0	0.99087273	0.99001265	6.6182362e-06	7.7563285e-06	8.9079327e-08	7.4683141e-06	5.1239146e-09	7.06598e-07	8.8222759e-08	7.1248577e-07	3.3006517e-08	-2.2187889e-06	1.3595639e-07	1.2789668e-05	1.280036e-05	0.00083526928
