lambda	F11	F12	F13	F21	F22	F23	F31	F32	F33	J	P11	P12	P13	P21	P22	P23	P31	P32	P33	p	StrEn	t(1)	t(2)	d
0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	-0	0	inf	inf	inf
0.002	1.002	0	0	0	1.002	0	0	0	1.002	1.006012	1.8182173e-05	2.4967861e-08	2.146111e-07	2.0351261e-08	1.8144901e-05	3.6233158e-07	2.1858945e-07	3.7499049e-07	1.8344463e-05	-1.8223846e-05	5.4223235e-08	5.4671537e-05	5.4901266e-05	0.0041843955
0.004	1.004	0	0	0	1.004	0	0	0	1.004	1.0120481	3.7036387e-05	6.2176042e-08	3.74051e-07	5.2884405e-08	3.6822606e-05	7.3195663e-07	3.798492e-07	7.5604324e-07	3.7312545e-05	-3.7057179e-05	2.1960506e-07	0.00011117154	0.00011124073	0.00062203996
0.006	1.006	0	0	0	1.006	0	0	0	1.006	1.0181082	5.6348917e-05	9.9211977e-08	5.0086376e-07	8.5388899e-08	5.5887988e-05	1.0893683e-06	5.0699638e-07	1.1237347e-06	5.6699068e-05	-5.6311991e-05	4.9918617e-07	0.00016893597	0.00016888912	-0.00027742223
0.008	1.008	0	0	0	1.008	0	0	0	1.008	1.0241925	7.5997596e-05	1.310267e-07	6.0625807e-07	1.1294498e-07	7.5255489e-05	1.426622e-06	6.1173042e-07	1.4702224e-06	7.6392696e-05	-7.5881927e-05	8.9516154e-07	0.00022764578	0.00022750657	-0.00061189441
0.01	1.01	0	0	0	1.01	0	0	0	1.01	1.030301	9.5903565e-05	1.5586331e-07	6.9659554e-07	1.3386289e-07	9.4867253e-05	1.7408604e-06	7.0075941e-07	1.7927551e-06	9.6323641e-05	-9.5698153e-05	1.4092125e-06	0.00028709446	0.00028687809	-0.00075422078
0.012	1.012	0	0	0	1.012	0	0	0	1.012	1.0364337	0.00011601234	1.7347854e-07	7.7581768e-07	1.4792667e-07	0.0001146811	2.0316691e-06	7.7826882e-07	2.091021e-06	0.00011644426	-0.00011571257	2.0426739e-06	0.0003471377	0.000346855	-0.0008150347
0.014	1.014	0	0	0	1.014	0	0	0	1.014	1.0425907	0.0001362846	1.8430816e-07	8.4651987e-07	1.5557568e-07	0.00013466483	2.2998382e-06	8.4702634e-07	2.3659042e-06	0.00013672015	-0.00013588986	2.7966325e-06	0.00040766958	0.00040732878	-0.0008366679
0.016	1.016	0	0	0	1.016	0	0	0	1.016	1.0487721	0.00015669102	1.8906132e-07	9.1049077e-07	1.5750899e-07	0.00015479316	2.5467323e-06	9.0894267e-07	2.6188544e-06	0.00015712546	-0.00015620321	3.671989e-06	0.00046860964	0.00046821726	-0.00083802283
0.018	1.018	0	0	0	1.018	0	0	0	1.018	1.0549778	0.00017720921	1.8852198e-07	9.6900876e-07	1.54493e-07	0.00017504574	2.7739549e-06	9.653826e-07	2.8515508e-06	0.0001776402	-0.00017663172	4.6695015e-06	0.00052989515	0.00052945652	-0.00082845532
