lambda	F11	F12	F13	F21	F22	F23	F31	F32	F33	J	P11	P12	P13	P21	P22	P23	P31	P32	P33	p	StrEn	t(1)	t(2)	d
0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	-0	0	inf	inf	inf
0.002	1	0.002	0	0	1	0	0	0	1	1	-7.8593565e-08	6.8356649e-06	-1.3638426e-07	6.8363541e-06	-1.2138521e-07	-4.2840974e-08	-1.3527458e-07	-4.1273505e-08	-1.9270307e-08	7.3083029e-08	6.8312591e-09	6.8356649e-06	6.8284773e-06	-0.0010525942
0.004	1	0.004	0	0	1	0	0	0	1	1	7.8740067e-09	1.3653705e-05	-2.6979717e-07	1.3654938e-05	-1.0065717e-07	-7.4251398e-08	-2.6760642e-07	-7.1027163e-08	-6.3903883e-09	3.3057852e-08	2.7313909e-08	1.3653705e-05	1.3636133e-05	-0.0012886196
0.006	1	0.006	0	0	1	0	0	0	1	1	2.7958501e-07	2.0416157e-05	-4.0197445e-07	2.0416948e-05	8.2428523e-08	-9.4387911e-08	-3.9878381e-07	-8.9655348e-08	3.8172785e-08	-1.3339544e-07	6.1375793e-08	2.0416157e-05	2.0389436e-05	-0.0013105371
0.008	1	0.008	0	0	1	0	0	0	1	1	7.5318602e-07	2.7090076e-05	-5.3440725e-07	2.7088504e-05	4.4451268e-07	-1.0357068e-07	-5.3023064e-07	-9.7694537e-08	1.1449775e-07	-4.3739882e-07	1.0887165e-07	2.7090076e-05	2.7058819e-05	-0.001155154
0.01	1	0.01	0	0	1	0	0	0	1	1	1.4233316e-06	3.3665102e-05	-6.6814572e-07	3.3658326e-05	9.8033317e-07	-1.0244234e-07	-6.6288836e-07	-9.5851085e-08	2.2304551e-07	-8.7557009e-07	1.6961107e-07	3.3665102e-05	3.3634586e-05	-0.00090730262
0.012	1	0.012	0	0	1	0	0	0	1	1	2.2619543e-06	4.0155905e-05	-8.03895e-07	4.0140357e-05	1.662136e-06	-9.1664488e-08	-7.9744021e-07	-8.4692038e-08	3.6474118e-07	-1.4296105e-06	2.4340999e-07	4.0155905e-05	4.0128162e-05	-0.00069136095
0.014	1	0.014	0	0	1	0	0	0	1	1	3.2371994e-06	4.658443e-05	-9.4231116e-07	4.6556036e-05	2.4585098e-06	-7.1560372e-08	-9.3462191e-07	-6.4418869e-08	5.4117829e-07	-2.0789625e-06	3.3012372e-07	4.658443e-05	4.6558968e-05	-0.00054686837
0.016	1	0.016	0	0	1	0	0	0	1	1	4.3260252e-06	5.2966653e-05	-1.0841256e-06	5.2920952e-05	3.3468311e-06	-4.2114476e-08	-1.0752847e-06	-3.4944503e-08	7.5472951e-07	-2.8091953e-06	4.2964587e-07	5.2966653e-05	5.2942437e-05	-0.00045741113
0.018	1	0.018	0	0	1	0	0	0	1	1	5.5151424e-06	5.9310694e-05	-1.230093e-06	5.9242868e-05	4.3141495e-06	-3.1436089e-09	-1.2203069e-06	3.9345368e-09	1.0086158e-06	-3.6126359e-06	5.4189346e-07	5.9310694e-05	5.9286826e-05	-0.00040258375
0.02	1	0.02	0	0	1	0	0	0	1	1	6.7985043e-06	6.5618851e-05	-1.3808526e-06	6.5523696e-05	5.354653e-06	4.5495168e-08	-1.3704581e-06	5.233865e-08	1.3070743e-06	-4.4867439e-06	6.6679317e-07	6.5618851e-05	6.5594384e-05	-0.00037300109
0.022	1	0.022	0	0	1	0	0	0	1	1	8.1760403e-06	7.1889265e-05	-1.5365353e-06	7.176109e-05	6.4682036e-06	1.0340805e-07	-1.5260564e-06	1.0977103e-07	1.6560221e-06	-5.433422e-06	8.04271e-07	7.1889265e-05	7.1861025e-05	-0.00039298012
0.024	1	0.024	0	0	1	0	0	0	1	1	9.6639378e-06	7.8112629e-05	-1.6935785e-06	7.7944655e-05	7.6685489e-06	1.6567245e-07	-1.6842228e-06	1.7067305e-07	2.0706922e-06	-6.4677263e-06	9.5423727e-07	7.8112629e-05	7.7956011e-05	-0.0020090585
0.026	1	0.026	0	0	1	0	0	0	1	1	1.2329792e-05	8.3576541e-05	-1.7017162e-06	8.3325915e-05	9.9850807e-06	5.9439193e-08	-1.707031e-06	4.9446418e-08	3.5516423e-06	-8.6221718e-06	1.116095e-06	8.3576541e-05	8.3275802e-05	-0.0036113698
0.028	1	0.028	0	0	1	0	0	0	1	1	1.6488831e-05	8.7849365e-05	-1.6112829e-06	8.7460646e-05	1.3835234e-05	-1.4659981e-07	-1.629388e-06	-1.694472e-07	6.6155509e-06	-1.2313205e-05	1.2873405e-06	8.7849365e-05	8.7764106e-05	-0.00097145
0.03	1	0.03	0	0	1	0	0	0	1	1	2.0616071e-05	9.2093414e-05	-1.5622533e-06	9.1554089e-05	1.7673775e-05	-3.0447708e-07	-1.5876042e-06	-3.346919e-07	9.6848233e-06	-1.5991556e-05	1.4671515e-06	9.2093414e-05	9.2032643e-05	-0.00066031381
0.032	1	0.032	0	0	1	0	0	0	1	1	2.4725451e-05	9.6336164e-05	-1.5328964e-06	9.563244e-05	2.1496496e-05	-4.3855446e-07	-1.563113e-06	-4.7394073e-07	1.2738688e-05	-1.9653545e-05	1.6554711e-06	9.6336164e-05	9.6284463e-05	-0.00053696366
0.034	1	0.034	0	0	1	0	0	0	1	1	2.8829255e-05	0.00010058054	-1.5152777e-06	9.9698037e-05	2.5310513e-05	-5.5707526e-07	-1.5488948e-06	-5.9637085e-07	1.5780409e-05	-2.3306726e-05	1.8522893e-06	0.00010058054	0.0001005338	-0.00046483147
0.036	1	0.036	0	0	1	0	0	0	1	1	3.2934065e-05	0.00010482788	-1.5054018e-06	0.00010375194	2.9120037e-05	-6.6412197e-07	-1.5413754e-06	-7.0648603e-07	1.8812858e-05	-2.6955653e-05	2.0576063e-06	0.00010482788	0.00010478427	-0.0004161874
0.038	1	0.038	0	0	1	0	0	0	1	1	3.7043794e-05	0.00010907926	-1.5009151e-06	0.00010779503	3.2927647e-05	-7.6213175e-07	-1.5384399e-06	-8.0695702e-07	2.1838121e-05	-3.0603188e-05	2.2714264e-06	0.00010907926	0.00010903774	-0.00038074412
0.04	1	0.04	0	0	1	0	0	0	1	1	4.1160964e-05	0.00011333559	-1.5003012e-06	0.0001118281	3.6735031e-05	-8.5272624e-07	-1.5387247e-06	-8.9955135e-07	2.4857735e-05	-3.4251243e-05	2.4937572e-06	0.00011333559	0.00011329553	-0.00035359695
0.042	1	0.042	0	0	1	0	0	0	1	1	4.5287296e-05	0.0001175977	-1.5025251e-06	0.0001158519	4.0543348e-05	-9.3706334e-07	-1.5413003e-06	-9.8552536e-07	2.7872869e-05	-3.7901171e-05	2.7246085e-06	0.0001175977	0.00011755867	-0.00033205117
0.044	1	0.044	0	0	1	0	0	0	1	1	4.9424012e-05	0.00012186634	-1.5068513e-06	0.0001198671	4.4353431e-05	-1.0160117e-06	-1.5455089e-06	-1.0658178e-06	3.0884437e-05	-4.155396e-05	2.9639919e-06	0.00012186634	0.00012182803	-0.00031448305
0.046	1	0.046	0	0	1	0	0	0	1	1	5.357201e-05	0.00012614219	-1.5127418e-06	0.0001238743	4.8165893e-05	-1.090247e-06	-1.5508714e-06	-1.1411565e-06	3.3893171e-05	-4.5210358e-05	3.2119206e-06	0.00012614219	0.00012610438	-0.00029984814
0.048	1	0.048	0	0	1	0	0	0	1	1	5.7731966e-05	0.00013042584	-1.5197943e-06	0.00012787406	5.19812e-05	-1.1603097e-06	-1.5570321e-06	-1.2121218e-06	3.6899668e-05	-4.8870945e-05	3.4684094e-06	0.00013042584	0.00013038836	-0.000287441
