lambda	F11	F12	F13	F21	F22	F23	F31	F32	F33	J	P11	P12	P13	P21	P22	P23	P31	P32	P33	p	StrEn	t(1)	t(2)	d
0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	-0	0	inf	inf	inf
-0.002	0.998	0	0	0	0.999	0	0	0	1.0011656	0.99816408	-3.2412887e-05	4.1635458e-07	2.2401973e-07	4.1113143e-07	-2.2357119e-05	-1.0813143e-07	1.8638743e-07	-7.96002e-08	3.9856449e-09	1.825534e-05	4.3669496e-08	-4.3593757e-05	-4.3302822e-05	-0.0067186219
-0.004	0.996	0	0	0	0.998	0	0	0	1.002319	0.9963131	-6.3514157e-05	3.142822e-07	5.4870471e-07	3.0631813e-07	-4.3555633e-05	-3.3303057e-07	1.5435687e-07	-1.6559676e-07	3.2192962e-09	3.5688857e-05	1.7321129e-07	-8.5293804e-05	-8.3192638e-05	-0.025256633
-0.006	0.994	0	0	0	0.997	0	0	0	1.0034399	0.99442704	-8.7116188e-05	-2.1640773e-07	1.1353791e-06	-2.2126514e-07	-5.7776638e-05	-6.2024802e-07	-4.5913864e-07	-5.217992e-07	4.2327271e-09	4.8296198e-05	3.7644005e-07	-0.00011600687	-0.00011523941	-0.0066596995
-0.008	0.992	0	0	0	0.996	0	0	0	1.0045518	0.99252934	-0.00010712161	3.088824e-08	1.6493033e-06	3.2513259e-08	-6.8776819e-05	-9.1642857e-07	-8.3728292e-07	-8.7434001e-07	8.1127417e-09	5.8630106e-05	6.3416893e-07	-0.00014151452	-0.00014135697	-0.0011145577
-0.01	0.99	0	0	0	0.995	0	0	0	1.0056561	0.99062154	-0.00012637037	2.3081056e-07	2.1172666e-06	2.4053779e-07	-7.9330052e-05	-1.24131e-06	-1.0330147e-06	-1.2164215e-06	1.2925193e-08	6.85625e-05	9.4186791e-07	-0.0001660425	-0.00016592087	-0.00073305539
-0.012	0.988	0	0	0	0.994	0	0	0	1.0067488	0.98869981	-0.00014494386	4.0087335e-07	2.5778386e-06	4.2070218e-07	-8.9639009e-05	-1.6053441e-06	-1.1113712e-06	-1.5854002e-06	1.8651904e-08	7.8188072e-05	1.2978524e-06	-0.00018977348	-0.00018962472	-0.00078453558
-0.014	0.986	0	0	0	0.993	0	0	0	1.0078259	0.98676036	-0.00016263074	5.6469658e-07	3.0524121e-06	5.9728988e-07	-9.9722268e-05	-2.0233489e-06	-1.0909246e-06	-2.0032655e-06	2.5107521e-08	8.7442635e-05	1.7003668e-06	-0.00021250527	-0.00021229367	-0.00099674055
-0.016	0.984	0	0	0	0.992	0	0	0	1.0088828	0.98479874	-0.00017899706	7.4418829e-07	3.5570778e-06	7.9306696e-07	-0.00010955517	-2.5099325e-06	-9.7507333e-07	-2.4875676e-06	3.1985962e-08	9.6173416e-05	2.1470271e-06	-0.00023379135	-0.00023349155	-0.001283965
-0.018	0.982	0	0	0	0.991	0	0	0	1.009914	0.98280996	-0.00019340467	9.6529325e-07	4.1038118e-06	1.0345468e-06	-0.00011909237	-3.0730674e-06	-7.6418977e-07	-3.0480143e-06	3.872812e-08	0.00010415277	2.634333e-06	-0.00025297052	-0.00025261761	-0.0013970051
-0.02	0.98	0	0	0	0.99	0	0	0	1.0109136	0.98078835	-0.00020537512	1.2612679e-06	4.6995578e-06	1.3544059e-06	-0.00012826723	-3.7044767e-06	-4.618069e-07	-3.6776649e-06	4.4441926e-08	0.0001111993	3.1574975e-06	-0.00026953049	-0.00026922935	-0.0011185344
-0.022	0.978	0	0	0	0.989	0	0	0	1.0118727	0.97872582	-0.00021505797	1.6687299e-06	5.3426079e-06	1.7881322e-06	-0.00013697698	-4.3694732e-06	-7.7266392e-08	-4.3428674e-06	4.806914e-08	0.00011732896	3.7112504e-06	-0.00028356888	-0.00028335934	-0.0007394923
-0.024	0.976	0	0	0	0.988	0	0	0	1.0127792	0.97661085	-0.0002229531	2.2010681e-06	6.0041555e-06	2.3489527e-06	-0.0001450855	-4.9875829e-06	3.5668696e-07	-4.963655e-06	4.8546915e-08	0.00012266335	4.2909349e-06	-0.00029551706	-0.00029536308	-0.00052133133
-0.026	0.974	0	0	0	0.987	0	0	0	1.0136205	0.97443187	-0.00022945436	2.797444e-06	6.6099275e-06	2.9759817e-06	-0.00015246041	-5.4293666e-06	7.6124273e-07	-5.4102419e-06	4.5012783e-08	0.00012728992	4.8927027e-06	-0.00030570271	-0.000305583	-0.00039176382
-0.028	0.972	0	0	0	0.986	0	0	0	1.0143922	0.97218537	-0.00023483764	3.3184727e-06	7.0774687e-06	3.5280668e-06	-0.00015904527	-5.6015214e-06	1.0454725e-06	-5.5881981e-06	3.7627152e-08	0.00013128176	5.5132669e-06	-0.00031437424	-0.00031430028	-0.00023533724
-0.03	0.97	0	0	0	0.985	0	0	0	1.0151049	0.96988194	-0.00023938325	3.6639572e-06	7.3930125e-06	3.9024403e-06	-0.00016490705	-5.5476266e-06	1.1867835e-06	-5.5401138e-06	2.7921321e-08	0.00013475412	6.1499038e-06	-0.00032184642	-0.00032181934	-8.4156646e-05
-0.032	0.968	0	0	0	0.984	0	0	0	1.0157747	0.96753762	-0.00024334584	3.8431935e-06	7.6012904e-06	4.1072736e-06	-0.00017016335	-5.38159e-06	1.2255146e-06	-5.3796797e-06	1.7497379e-08	0.00013783056	6.8005442e-06	-0.00032843324	-0.0003284372	1.2044246e-05
-0.034	0.966	0	0	0	0.983	0	0	0	1.0164136	0.96516398	-0.00024689381	3.9099034e-06	7.7469838e-06	4.1964763e-06	-0.00017490765	-5.1860347e-06	1.2053743e-06	-5.1897658e-06	7.1683968e-09	0.0001405981	7.4636526e-06	-0.00033434989	-0.00033437161	6.4971817e-05
-0.036	0.964	0	0	0	0.982	0	0	0	1.0170279	0.96276741	-0.00025012257	3.9093005e-06	7.8572564e-06	4.2157904e-06	-0.0001792089	-5.000542e-06	1.1535998e-06	-5.0102655e-06	-2.8133206e-09	0.00014311143	8.1380307e-06	-0.00033972617	-0.00033975897	9.6561639e-05
