lambda	F11	F12	F13	F21	F22	F23	F31	F32	F33	J	P11	P12	P13	P21	P22	P23	P31	P32	P33	p	StrEn	t(1)	t(2)	d
0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	-0	0	inf	inf	inf
-0.002	0.998	-0.0016	0	0	1.0004672	0	0	0	1.000452	0.99891755	-1.9275117e-05	-5.2557396e-06	2.2573816e-09	-5.278331e-06	-8.1883832e-09	5.2572546e-10	-2.8346838e-08	-2.7193591e-08	1.0961426e-09	6.427403e-06	2.358173e-08	-2.3478706e-05	-2.2711016e-05	-0.033802531
-0.004	0.996	-0.0032	0	0	1.0006214	0	0	0	1.0009818	0.99759741	-3.5765756e-05	-7.6368048e-06	1.343177e-07	-7.7090477e-06	-3.2638023e-08	1.3092242e-07	-2.9111173e-07	-3.8819587e-07	-1.0668447e-08	1.1936354e-05	9.0844063e-08	-4.1872433e-05	-4.0861025e-05	-0.024752386
-0.006	0.994	-0.0048	0	0	1.0004809	0	0	0	1.0014477	0.99591769	-4.8500797e-05	-6.8085485e-06	2.993091e-08	-6.9262998e-06	-5.6983599e-08	2.9398267e-07	-7.4511175e-07	-8.45714e-07	-3.2792503e-08	1.6196858e-05	1.8702583e-07	-5.3945258e-05	-5.3545059e-05	-0.0074740548
-0.008	0.992	-0.0064	0	0	1.0003859	0	0	0	1.0016811	0.99405108	-5.9072802e-05	-5.9421477e-06	-5.7798067e-08	-6.0667992e-06	-7.8159805e-08	4.4691018e-07	-1.0610658e-06	-1.2974653e-06	-5.8330103e-08	1.9736431e-05	3.050243e-07	-6.3824624e-05	-6.3520642e-05	-0.0047855592
-0.01	0.99	-0.008	0	0	1.0003343	0	0	0	1.0017742	0.99208797	-6.7969299e-05	-5.2183305e-06	-3.0775728e-08	-5.3381858e-06	-9.57659e-08	5.8026596e-07	-1.2078733e-06	-1.6885117e-06	-8.1321229e-08	2.2715462e-05	4.411084e-07	-7.2143317e-05	-7.1849326e-05	-0.0040917839
-0.012	0.988	-0.0096	0	0	1.0003015	0	0	0	1.0018122	0.9900889	-7.5386525e-05	-4.5907766e-06	2.051379e-08	-4.7044067e-06	-1.1047805e-07	6.9639799e-07	-1.3007366e-06	-2.0215348e-06	-1.0104495e-07	2.5199349e-05	5.924216e-07	-7.9059467e-05	-7.8740136e-05	-0.0040555013
-0.014	0.986	-0.0112	0	0	1.0002762	0	0	0	1.001825	0.98807231	-8.1255079e-05	-4.0360428e-06	7.5178854e-08	-4.1423333e-06	-1.2313979e-07	7.9961366e-07	-1.370332e-06	-2.315145e-06	-1.1824557e-07	2.7165488e-05	7.5606894e-07	-8.448507e-05	-8.4183154e-05	-0.003586417
-0.016	0.984	-0.0128	0	0	1.0002525	0	0	0	1.0018241	0.98604387	-8.570732e-05	-3.5457683e-06	1.2680221e-07	-3.6438786e-06	-1.3432814e-07	8.9254472e-07	-1.4282621e-06	-2.5823322e-06	-1.3353451e-07	2.8658394e-05	9.2915422e-07	-8.8545922e-05	-8.8296875e-05	-0.0028205619
-0.018	0.982	-0.0144	0	0	1.0002268	0	0	0	1.0018152	0.98400565	-8.9070702e-05	-3.1143614e-06	1.723137e-07	-3.2037754e-06	-1.4443188e-07	9.7714235e-07	-1.4809556e-06	-2.8307327e-06	-1.4736747e-07	2.97875e-05	1.1092564e-06	-9.1565037e-05	-9.1368037e-05	-0.0021561159
