lambda	F11	F12	F13	F21	F22	F23	F31	F32	F33	J	P11	P12	P13	P21	P22	P23	P31	P32	P33	p	StrEn	t(1)	t(2)	d
0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	-0	0	inf	inf	inf
-0.002	0.998	0	0	0	0.998	0	0	0	0.998	0.99401199	-2.2995232e-05	7.304155e-07	2.3563938e-07	7.2987302e-07	-2.3372885e-05	-3.880333e-07	2.5893682e-07	-3.6498908e-07	-2.3410221e-05	2.3259446e-05	7.0874667e-08	-6.9778338e-05	-6.7609776e-05	-0.032074688
-0.004	0.996	0	0	0	0.996	0	0	0	0.996	0.98804794	-4.1365819e-05	8.8262445e-07	5.6870969e-07	8.8609199e-07	-4.2086586e-05	-1.042061e-06	6.4066247e-07	-9.8426477e-07	-4.2705413e-05	4.2052606e-05	2.704391e-07	-0.00012615782	-0.0001211904	-0.040988538
-0.006	0.994	0	0	0	0.994	0	0	0	0.994	0.98210778	-5.030932e-05	-8.8542981e-07	7.5669348e-07	-8.8892289e-07	-5.1446218e-05	-2.1259564e-06	8.9357481e-07	-2.0240206e-06	-5.2278431e-05	5.1344656e-05	5.5563627e-07	-0.00015403397	-0.00015140285	-0.01737827
-0.008	0.992	0	0	0	0.992	0	0	0	0.992	0.97619149	-5.3959939e-05	-2.7452735e-06	8.0535804e-07	-2.7641808e-06	-5.497625e-05	-3.109149e-06	9.8377124e-07	-2.976573e-06	-5.5363043e-05	5.4766411e-05	8.760505e-07	-0.00016429923	-0.00016383192	-0.0028524002
-0.01	0.99	0	0	0	0.99	0	0	0	0.99	0.970299	-5.5915716e-05	-4.1597753e-06	7.9185678e-07	-4.1919226e-06	-5.6692333e-05	-3.6026868e-06	1.0033677e-06	-3.4429625e-06	-5.678372e-05	5.6463923e-05	1.2109639e-06	-0.00016939177	-0.00016941413	0.00013198633
-0.012	0.988	0	0	0	0.988	0	0	0	0.988	0.96443027	-5.7109108e-05	-5.18888e-06	7.3249554e-07	-5.2320386e-06	-5.769314e-05	-3.8289944e-06	9.7109969e-07	-3.6460887e-06	-5.7600238e-05	5.7467496e-05	1.553707e-06	-0.00017240249	-0.00017259466	0.0011134472
-0.014	0.986	0	0	0	0.986	0	0	0	0.986	0.95858526	-5.7913599e-05	-5.9775484e-06	6.6159676e-07	-6.0297414e-06	-5.835953e-05	-3.9230575e-06	9.2228064e-07	-3.7216119e-06	-5.8140048e-05	5.8137725e-05	1.9013426e-06	-0.00017441318	-0.00017466594	0.0014471356
-0.016	0.984	0	0	0	0.984	0	0	0	0.984	0.9527639	-5.8499102e-05	-6.6056848e-06	5.9118224e-07	-6.665286e-06	-5.8841384e-05	-3.9420339e-06	8.7056027e-07	-3.7255572e-06	-5.8528533e-05	5.8623006e-05	2.2523708e-06	-0.00017586902	-0.00017614242	0.0015521448
-0.018	0.982	0	0	0	0.982	0	0	0	0.982	0.94696617	-5.8948812e-05	-7.1081633e-06	5.2355169e-07	-7.173876e-06	-5.9207453e-05	-3.9125527e-06	8.1936251e-07	-3.6835277e-06	-5.8822628e-05	5.8992964e-05	2.6059123e-06	-0.00017697889	-0.00017725666	0.0015670464
-0.02	0.98	0	0	0	0.98	0	0	0	0.98	0.941192	-5.9308039e-05	-7.5010787e-06	4.5931388e-07	-7.5718905e-06	-5.9494757e-05	-3.8501958e-06	7.6997468e-07	-3.6104128e-06	-5.905295e-05	5.9285249e-05	2.9613974e-06	-0.00017785575	-0.00017813025	0.001541053
-0.022	0.978	0	0	0	0.978	0	0	0	0.978	0.93544135	-5.9603979e-05	-7.7938341e-06	3.9917046e-07	-7.8689766e-06	-5.972585e-05	-3.766177e-06	7.2349034e-07	-3.5169849e-06	-5.9238207e-05	5.9522679e-05	3.3184333e-06	-0.00017856804	-0.00017883531	0.0014945433
-0.024	0.976	0	0	0	0.976	0	0	0	0.976	0.92971418	-5.9854361e-05	-7.9952466e-06	3.4392455e-07	-8.0741595e-06	-5.9915876e-05	-3.6696201e-06	6.8092367e-07	-3.4120975e-06	-5.9391012e-05	5.9720416e-05	3.6767387e-06	-0.00017916125	-0.00017941907	0.0014369994
-0.026	0.974	0	0	0	0.974	0	0	0	0.974	0.92401042	-6.0071468e-05	-8.1163473e-06	2.9411903e-07	-8.1986382e-06	-6.0075702e-05	-3.5680099e-06	6.4292243e-07	-3.3030749e-06	-5.95204e-05	5.988919e-05	4.0361096e-06	-0.00017966757	-0.00017991466	0.0013733979
-0.028	0.972	0	0	0	0.972	0	0	0	0.972	0.91833005	-6.0264077e-05	-8.1705169e-06	2.4979844e-07	-8.2559173e-06	-6.021332e-05	-3.4669894e-06	6.0958619e-07	-3.1954601e-06	-5.9632944e-05	6.003678e-05	4.3963973e-06	-0.00018011034	-0.00018034604	0.0013069108
-0.03	0.97	0	0	0	0.97	0	0	0	0.97	0.912673	-6.0438473e-05	-8.1719466e-06	2.1053411e-07	-8.2602698e-06	-6.0334556e-05	-3.3702415e-06	5.8052831e-07	-3.0928636e-06	-5.9733339e-05	6.0168789e-05	4.7574937e-06	-0.00018050637	-0.00018073046	0.0012399317
-0.032	0.968	0	0	0	0.968	0	0	0	0.968	0.90703923	-6.0599118e-05	-8.1338392e-06	1.7561808e-07	-8.2249478e-06	-6.0443561e-05	-3.2797265e-06	5.5508701e-07	-2.9971811e-06	-5.9824825e-05	6.0289168e-05	5.1193192e-06	-0.0001808675	-0.00018108014	0.0011742631
-0.034	0.966	0	0	0	0.966	0	0	0	0.966	0.9014287	-6.0749157e-05	-8.0672906e-06	1.4426924e-07	-8.1610739e-06	-6.0543234e-05	-3.1961521e-06	5.3253453e-07	-2.9090582e-06	-5.9909589e-05	6.040066e-05	5.4818143e-06	-0.00018120198	-0.00018140353	0.0011110834
-0.036	0.964	0	0	0	0.964	0	0	0	0.964	0.89584134	-6.0890808e-05	-7.9809856e-06	1.1576695e-07	-8.0773473e-06	-6.0635587e-05	-3.1194566e-06	5.1220774e-07	-2.8283726e-06	-5.9989091e-05	6.0505162e-05	5.8449333e-06	-0.00018151549	-0.00018170646	0.0010509988
-0.038	0.962	0	0	0	0.962	0	0	0	0.962	0.89027713	-6.1025658e-05	-7.8814148e-06	8.9507363e-08	-7.9802657e-06	-6.0722026e-05	-3.0491789e-06	4.9356042e-07	-2.7546058e-06	-6.0064315e-05	6.0604e-05	6.2086401e-06	-0.000181812	-0.00018199293	0.00099419043
-0.04	0.96	0	0	0	0.96	0	0	0	0.96	0.884736	-6.1154867e-05	-7.7732929e-06	6.5010645e-08	-7.8745482e-06	-6.0803556e-05	-2.984695e-06	4.761675e-07	-2.6870807e-06	-6.013594e-05	6.0698121e-05	6.5729051e-06	-0.00018209436	-0.0001822658	0.00094057572
-0.042	0.958	0	0	0	0.958	0	0	0	0.958	0.87921791	-6.1279301e-05	-7.6599875e-06	4.1905712e-08	-7.7635654e-06	-6.0880913e-05	-2.9253509e-06	4.5970826e-07	-2.6250952e-06	-6.0204452e-05	6.0788222e-05	6.9377033e-06	-0.00018236467	-0.0001825271	0.00088993556
-0.044	0.956	0	0	0	0.956	0	0	0	0.956	0.87372282	-6.1399627e-05	-7.5438809e-06	1.9908681e-08	-7.6497021e-06	-6.0954651e-05	-2.870528e-06	4.4394419e-07	-2.5679878e-06	-6.0270212e-05	6.087483e-05	7.3030135e-06	-0.00018262449	-0.00018277839	0.00084199654
-0.046	0.954	0	0	0	0.954	0	0	0	0.954	0.86825066	-6.1516369e-05	-7.4266478e-06	-1.1975314e-09	-7.5346357e-06	-6.1025202e-05	-2.8196708e-06	4.2869866e-07	-2.5151651e-06	-6.0333498e-05	6.0958357e-05	7.6688169e-06	-0.00018287507	-0.00018302084	0.00079647776
-0.048	0.952	0	0	0	0.952	0	0	0	0.952	0.86280141	-6.162995e-05	-7.3094593e-06	-2.1579994e-08	-7.4195401e-06	-6.1092911e-05	-2.772294e-06	4.138404e-07	-2.4661082e-06	-6.0394534e-05	6.1039131e-05	8.0350968e-06	-0.00018311739	-0.00018325541	0.00075311437
-0.05	0.95	0	0	0	0.95	0	0	0	0.95	0.857375	-6.1740714e-05	-7.1931293e-06	-4.1368655e-08	-7.3052319e-06	-6.1158059e-05	-2.7279799e-06	3.9927115e-07	-2.4203697e-06	-6.0453502e-05	6.1117425e-05	8.4018385e-06	-0.00018335228	-0.00018348285	0.00071166759
-0.052	0.948	0	0	0	0.948	0	0	0	0.948	0.85197139	-6.184895e-05	-7.0782183e-06	-6.0665928e-08	-7.1922746e-06	-6.1220884e-05	-2.6863714e-06	3.8491649e-07	-2.3775664e-06	-6.0510558e-05	6.1193464e-05	8.7690283e-06	-0.00018358039	-0.00018370383	0.00067192727
-0.054	0.946	0	0	0	0.946	0	0	0	0.946	0.84659054	-6.1954902e-05	-6.9651064e-06	-7.9553691e-08	-7.0810511e-06	-6.1281585e-05	-2.6471641e-06	3.7071935e-07	-2.337371e-06	-6.0565834e-05	6.126744e-05	9.1366538e-06	-0.00018380232	-0.00018391887	0.00063371099
-0.056	0.944	0	0	0	0.944	0	0	0	0.944	0.84123238	-6.2058779e-05	-6.8540456e-06	-9.8098364e-08	-6.9718163e-06	-6.1340335e-05	-2.610099e-06	3.5663531e-07	-2.2995039e-06	-6.0619447e-05	6.1339521e-05	9.5047037e-06	-0.00018401856	-0.00018412846	0.0005968614
-0.058	0.942	0	0	0	0.942	0	0	0	0.942	0.83589689	-6.2160761e-05	-6.7451962e-06	-1.1635459e-07	-6.8647333e-06	-6.1397286e-05	-2.5749548e-06	3.4262929e-07	-2.2637256e-06	-6.0671501e-05	6.140985e-05	9.8731676e-06	-0.00018422955	-0.000184333	0.00056124318
-0.06	0.94	0	0	0	0.94	0	0	0	0.94	0.830584	-6.2261005e-05	-6.6386531e-06	-1.3436789e-07	-6.7599e-06	-6.1452571e-05	-2.541542e-06	3.286732e-07	-2.2298307e-06	-6.0722088e-05	6.1478555e-05	1.0242036e-05	-0.00018443566	-0.00018453287	0.00052673994
-0.062	0.938	0	0	0	0.938	0	0	0	0.938	0.82529367	-6.2359649e-05	-6.5344649e-06	-1.5217667e-07	-6.6573672e-06	-6.1506309e-05	-2.5096982e-06	3.1474423e-07	-2.1976424e-06	-6.0771293e-05	6.154575e-05	1.0611299e-05	-0.00018463725	-0.00018472837	0.00049325141
-0.064	0.936	0	0	0	0.936	0	0	0	0.936	0.82002586	-6.2456816e-05	-6.4326466e-06	-1.6981363e-07	-6.5571527e-06	-6.1558607e-05	-2.4792831e-06	3.0082362e-07	-2.1670075e-06	-6.0819191e-05	6.1611538e-05	1.0980949e-05	-0.00018483461	-0.0001849198	0.00046069098
-0.066	0.934	0	0	0	0.934	0	0	0	0.934	0.8147805	-6.2552613e-05	-6.3331899e-06	-1.8730687e-07	-6.4592505e-06	-6.1609559e-05	-2.4501752e-06	2.8689579e-07	-2.1377931e-06	-6.0865854e-05	6.1676009e-05	1.1350978e-05	-0.00018502803	-0.00018510743	0.0004289835
-0.068	0.932	0	0	0	0.932	0	0	0	0.932	0.80955757	-6.2647139e-05	-6.2360699e-06	-2.0468072e-07	-6.3636381e-06	-6.1659255e-05	-2.4222688e-06	2.7294768e-07	-2.1098834e-06	-6.0911346e-05	6.1739247e-05	1.1721379e-05	-0.00018521774	-0.0001852915	0.00039806351
-0.07	0.93	0	0	0	0.93	0	0	0	0.93	0.804357	-6.2740479e-05	-6.1412505e-06	-2.2195639e-07	-6.2702814e-06	-6.1707773e-05	-2.3954715e-06	2.589682e-07	-2.0831766e-06	-6.0955729e-05	6.1801327e-05	1.2092144e-05	-0.00018540398	-0.00018547221	0.00036787367
-0.072	0.928	0	0	0	0.928	0	0	0	0.928	0.79917875	-6.2832713e-05	-6.0486874e-06	-2.3915246e-07	-6.1791384e-06	-6.1755187e-05	-2.3697021e-06	2.4494793e-07	-2.0575834e-06	-6.0999059e-05	6.186232e-05	1.2463268e-05	-0.00018558696	-0.00018564978	0.00033836349
-0.074	0.926	0	0	0	0.926	0	0	0	0.926	0.79402278	-6.2923912e-05	-5.9583315e-06	-2.5628528e-07	-6.0901617e-06	-6.1801563e-05	-2.3448889e-06	2.3087875e-07	-2.0330247e-06	-6.104139e-05	6.1922288e-05	1.2834743e-05	-0.00018576686	-0.00018582438	0.00030948822
-0.076	0.924	0	0	0	0.924	0	0	0	0.924	0.78888902	-6.3014139e-05	-5.8701302e-06	-2.7336932e-07	-6.0033006e-06	-6.1846964e-05	-2.3209683e-06	2.1675368e-07	-2.0094301e-06	-6.1082773e-05	6.1981292e-05	1.3206565e-05	-0.00018594388	-0.00018599618	0.00028120796
-0.078	0.922	0	0	0	0.922	0	0	0	0.922	0.78377745	-6.3103454e-05	-5.784029e-06	-2.9041744e-07	-5.9185026e-06	-6.1891447e-05	-2.2978835e-06	2.0256661e-07	-1.986737e-06	-6.1123254e-05	6.2039385e-05	1.3578728e-05	-0.00018611816	-0.00018616535	0.00025348688
-0.08	0.92	0	0	0	0.92	0	0	0	0.92	0.778688	-6.319191e-05	-5.6999727e-06	-3.0744113e-07	-5.8357138e-06	-6.1935065e-05	-2.2755838e-06	1.8831219e-07	-1.9648891e-06	-6.1162881e-05	6.2096619e-05	1.3951227e-05	-0.00018628986	-0.00018633202	0.00022629259
-0.082	0.918	0	0	0	0.918	0	0	0	0.918	0.77362063	-6.3279555e-05	-5.6179054e-06	-3.2445069e-07	-5.7548802e-06	-6.1977868e-05	-2.2540232e-06	1.7398568e-07	-1.9438357e-06	-6.1201696e-05	6.215304e-05	1.4324056e-05	-0.00018645912	-0.00018649634	0.00019959559
-0.084	0.916	0	0	0	0.916	0	0	0	0.916	0.7685753	-6.3366436e-05	-5.5377719e-06	-3.4145542e-07	-5.6759479e-06	-6.2019903e-05	-2.2331603e-06	1.5958284e-07	-1.9235311e-06	-6.123974e-05	6.2208693e-05	1.4697212e-05	-0.00018662608	-0.00018665844	0.00017336885
-0.086	0.914	0	0	0	0.914	0	0	0	0.914	0.76355194	-6.3452591e-05	-5.4595173e-06	-3.5846375e-07	-5.5988632e-06	-6.2061211e-05	-2.2129575e-06	1.4509985e-07	-1.9039334e-06	-6.1277054e-05	6.2263619e-05	1.507069e-05	-0.00018679086	-0.00018681843	0.00014758739
-0.088	0.912	0	0	0	0.912	0	0	0	0.912	0.75855053	-6.353806e-05	-5.3830874e-06	-3.7548342e-07	-5.5235736e-06	-6.2101835e-05	-2.1933803e-06	1.3053318e-07	-1.8850048e-06	-6.1313675e-05	6.2317857e-05	1.5444486e-05	-0.00018695357	-0.00018697642	0.00012222801
-0.09	0.91	0	0	0	0.91	0	0	0	0.91	0.753571	-6.3622877e-05	-5.308429e-06	-3.9252153e-07	-5.4500269e-06	-6.2141811e-05	-2.1743971e-06	1.1587955e-07	-1.8667102e-06	-6.1349639e-05	6.2371442e-05	1.5818596e-05	-0.00018711433	-0.00018713253	9.7269023e-05
-0.092	0.908	0	0	0	0.908	0	0	0	0.908	0.74861331	-6.3707074e-05	-5.2354899e-06	-4.095847e-07	-5.3781721e-06	-6.2181175e-05	-2.1559788e-06	1.0113587e-07	-1.8490178e-06	-6.1384981e-05	6.242441e-05	1.6193016e-05	-0.00018727323	-0.00018728684	7.2690019e-05
-0.094	0.906	0	0	0	0.906	0	0	0	0.906	0.74367742	-6.379068e-05	-5.1642189e-06	-4.2667913e-07	-5.3079593e-06	-6.2219961e-05	-2.1380985e-06	8.629917e-08	-1.8318979e-06	-6.1419734e-05	6.2476792e-05	1.6567743e-05	-0.00018743037	-0.00018743946	4.8471702e-05
-0.096	0.904	0	0	0	0.904	0	0	0	0.904	0.73876326	-6.3873723e-05	-5.0945661e-06	-4.4381068e-07	-5.2393394e-06	-6.22582e-05	-2.1207311e-06	7.1366541e-08	-1.8153231e-06	-6.145393e-05	6.2528617e-05	1.6942774e-05	-0.00018758585	-0.00018759047	2.459574e-05
-0.098	0.902	0	0	0	0.902	0	0	0	0.902	0.73387081	-6.3956227e-05	-5.0264824e-06	-4.6098495e-07	-5.1722645e-06	-6.2295921e-05	-2.1038534e-06	5.6335116e-08	-1.7992677e-06	-6.1487599e-05	6.2579916e-05	1.7318105e-05	-0.00018773975	-0.00018773994	1.0446427e-06
-0.1	0.9	0	0	0	0.9	0	0	0	0.9	0.729	-6.4038216e-05	-4.9599202e-06	-4.7820733e-07	-5.1066877e-06	-6.2333152e-05	-2.0874435e-06	4.1202026e-08	-1.7837082e-06	-6.1520771e-05	6.2630713e-05	1.7693734e-05	-0.00018789214	-0.00018788797	-2.2198342e-05
-0.102	0.898	0	0	0	0.898	0	0	0	0.898	0.72415079	-6.4119712e-05	-4.8948327e-06	-4.9548307e-07	-5.0425634e-06	-6.2369918e-05	-2.0714813e-06	2.596436e-08	-1.7686222e-06	-6.1553473e-05	6.2681034e-05	1.8069657e-05	-0.0001880431	-0.00018803461	-4.5149307e-05
-0.104	0.896	0	0	0	0.896	0	0	0	0.896	0.71932314	-6.4200733e-05	-4.8311745e-06	-5.1281732e-07	-4.9798468e-06	-6.2406246e-05	-2.0559473e-06	1.061915e-08	-1.7539889e-06	-6.1585731e-05	6.2730903e-05	1.8445872e-05	-0.00018819271	-0.00018817995	-6.782376e-05
-0.106	0.894	0	0	0	0.894	0	0	0	0.894	0.71451698	-6.4281299e-05	-4.7689011e-06	-5.3021514e-07	-4.9184942e-06	-6.2442157e-05	-2.0408237e-06	-4.8366585e-09	-1.7397886e-06	-6.1617571e-05	6.2780342e-05	1.8822377e-05	-0.00018834103	-0.00018832403	-9.0236679e-05
-0.108	0.892	0	0	0	0.892	0	0	0	0.892	0.70973229	-6.4361426e-05	-4.7079692e-06	-5.476816e-07	-4.8584633e-06	-6.2477674e-05	-2.0260934e-06	-2.0406226e-08	-1.726003e-06	-6.1649017e-05	6.2829372e-05	1.9199168e-05	-0.00018848812	-0.00018846693	-0.00011240256
-0.11	0.89	0	0	0	0.89	0	0	0	0.89	0.704969	-6.4441129e-05	-4.6483368e-06	-5.6522175e-07	-4.7997126e-06	-6.2512816e-05	-2.0117404e-06	-3.6092833e-08	-1.7126145e-06	-6.1680091e-05	6.2878012e-05	1.9576244e-05	-0.00018863404	-0.0001886087	-0.00013433547
-0.112	0.888	0	0	0	0.888	0	0	0	0.888	0.70022707	-6.4520424e-05	-4.5899628e-06	-5.8284068e-07	-4.7422017e-06	-6.2547604e-05	-1.9977493e-06	-5.1899895e-08	-1.6996068e-06	-6.1710817e-05	6.2926281e-05	1.9953603e-05	-0.00018877884	-0.00018874939	-0.00015604905
-0.114	0.886	0	0	0	0.886	0	0	0	0.886	0.69550646	-6.4599322e-05	-4.5328072e-06	-6.0054351e-07	-4.6858913e-06	-6.2582055e-05	-1.9841059e-06	-6.7830975e-08	-1.6869643e-06	-6.1741213e-05	6.2974197e-05	2.0331242e-05	-0.00018892259	-0.00018888905	-0.00017755661
-0.116	0.884	0	0	0	0.884	0	0	0	0.884	0.6908071	-6.4677837e-05	-4.4768312e-06	-6.1833548e-07	-4.6307432e-06	-6.2616186e-05	-1.9707963e-06	-8.3889797e-08	-1.6746722e-06	-6.17713e-05	6.3021774e-05	2.0709159e-05	-0.00018906532	-0.00018902773	-0.00019887108
-0.118	0.882	0	0	0	0.882	0	0	0	0.882	0.68612897	-6.4755978e-05	-4.4219971e-06	-6.3622188e-07	-4.5767203e-06	-6.2650014e-05	-1.9578076e-06	-1.0008025e-07	-1.6627164e-06	-6.1801097e-05	6.306903e-05	2.1087353e-05	-0.00018920709	-0.00018916547	-0.00022000512
-0.12	0.88	0	0	0	0.88	0	0	0	0.88	0.681472	-6.4833757e-05	-4.3682682e-06	-6.5420812e-07	-4.5237863e-06	-6.2683554e-05	-1.9451274e-06	-1.164064e-07	-1.6510837e-06	-6.1830621e-05	6.3115977e-05	2.1465821e-05	-0.00018934793	-0.00018930232	-0.00024097106
-0.122	0.878	0	0	0	0.878	0	0	0	0.878	0.67683615	-6.4911182e-05	-4.3156089e-06	-6.7229974e-07	-4.4719062e-06	-6.271682e-05	-1.9327438e-06	-1.3287249e-07	-1.6397614e-06	-6.1859889e-05	6.316263e-05	2.1844562e-05	-0.00018948789	-0.0001894383	-0.00026178099
-0.124	0.876	0	0	0	0.876	0	0	0	0.876	0.67222138	-6.4988262e-05	-4.2639846e-06	-6.9050241e-07	-4.421046e-06	-6.2749825e-05	-1.9206458e-06	-1.4948296e-07	-1.6287374e-06	-6.1888917e-05	6.3209001e-05	2.2223574e-05	-0.000189627	-0.00018957346	-0.00028244678
-0.126	0.874	0	0	0	0.874	0	0	0	0.874	0.66762762	-6.5065004e-05	-4.2133618e-06	-7.0882196e-07	-4.3711725e-06	-6.2782583e-05	-1.9088226e-06	-1.6624244e-07	-1.6180002e-06	-6.191772e-05	6.3255102e-05	2.2602856e-05	-0.00018976531	-0.00018970783	-0.00030298004
-0.128	0.872	0	0	0	0.872	0	0	0	0.872	0.66305485	-6.5141414e-05	-4.1637079e-06	-7.2726434e-07	-4.3222537e-06	-6.2815104e-05	-1.897264e-06	-1.8315577e-07	-1.6075389e-06	-6.1946312e-05	6.3300944e-05	2.2982406e-05	-0.00018990283	-0.00018984144	-0.00032339224
-0.13	0.87	0	0	0	0.87	0	0	0	0.87	0.658503	-6.52175e-05	-4.1149914e-06	-7.458357e-07	-4.2742584e-06	-6.2847401e-05	-1.8859602e-06	-2.0022799e-07	-1.5973431e-06	-6.1974707e-05	6.3346536e-05	2.3362222e-05	-0.00019003961	-0.00018997431	-0.00034369466
-0.132	0.868	0	0	0	0.868	0	0	0	0.868	0.65397203	-6.5293266e-05	-4.0671818e-06	-7.6454236e-07	-4.2271565e-06	-6.2879483e-05	-1.874902e-06	-2.1746435e-07	-1.5874028e-06	-6.2002918e-05	6.3391889e-05	2.3742303e-05	-0.00019017567	-0.00019010649	-0.00036389844
-0.134	0.866	0	0	0	0.866	0	0	0	0.866	0.6494619	-6.5368716e-05	-4.0202495e-06	-7.8339083e-07	-4.1809187e-06	-6.2911361e-05	-1.8640806e-06	-2.3487032e-07	-1.5777084e-06	-6.2030957e-05	6.3437011e-05	2.4122648e-05	-0.00019031103	-0.00019023798	-0.00038401462
-0.136	0.864	0	0	0	0.864	0	0	0	0.864	0.64497254	-6.5443855e-05	-3.9741657e-06	-8.0238779e-07	-4.1355168e-06	-6.2943043e-05	-1.8534874e-06	-2.5245159e-07	-1.5682509e-06	-6.2058835e-05	6.3481911e-05	2.4503255e-05	-0.00019044573	-0.00019036881	-0.00040405416
