lambda	F11	F12	F13	F21	F22	F23	F31	F32	F33	J	P11	P12	P13	P21	P22	P23	P31	P32	P33	p	StrEn	t(1)	t(2)	d
0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	-0	0	inf	inf	inf
-0.002	1	-0.002	0	-0	1	-0	-0	-0	1	1	-5.2205244e-10	-9.8866008e-06	-1.300992e-07	-9.8937129e-06	-1.1899378e-07	8.9930592e-08	-1.3326901e-07	9.6602409e-08	-1.1373787e-07	7.7751234e-08	9.8832082e-09	-9.8866008e-06	-9.8784697e-06	-0.00082311628
-0.004	1	-0.004	0	-0	1	-0	-0	-0	1	1	1.4152866e-07	-1.9752822e-05	-2.6345967e-07	-1.9766842e-05	-1.2478846e-07	1.7700724e-07	-2.6906302e-07	1.9039653e-07	-2.0436343e-07	6.2541073e-08	3.9513879e-08	-1.9752822e-05	-1.9736132e-05	-0.00084566281
-0.006	1	-0.006	0	-0	1	-0	-0	-0	1	1	4.3255796e-07	-2.9575584e-05	-3.9977472e-07	-2.9595586e-05	-1.0747492e-08	2.6082049e-07	-4.0705734e-07	2.8100442e-07	-2.7231304e-07	-4.9832477e-08	8.8827735e-08	-2.9575584e-05	-2.9552077e-05	-0.00079543399
-0.008	1	-0.008	0	-0	1	-0	-0	-0	1	1	8.7634164e-07	-3.9340077e-05	-5.3872832e-07	-3.9364343e-05	2.2784612e-07	3.4096386e-07	-5.4705732e-07	3.6785215e-07	-3.1783161e-07	-2.6211871e-07	1.5772219e-07	-3.9340077e-05	-3.931375e-05	-0.00066967241
-0.01	1	-0.01	0	-0	1	-0	-0	-0	1	1	1.4609807e-06	-4.9051189e-05	-6.8010634e-07	-4.9077327e-05	5.7980303e-07	4.1699393e-07	-6.8903683e-07	4.502705e-07	-3.4062342e-07	-5.6672009e-07	2.4608273e-07	-4.9051189e-05	-4.9025532e-05	-0.00052335371
-0.012	1	-0.012	0	-0	1	-0	-0	-0	1	1	2.1591787e-06	-5.8731256e-05	-8.2383877e-07	-5.875654e-05	1.017353e-06	4.8865768e-07	-8.3299488e-07	5.28e-07	-3.3969766e-07	-9.4561136e-07	3.5382431e-07	-5.8731256e-05	-5.8704979e-05	-0.00044760543
-0.014	1	-0.014	0	-0	1	-0	-0	-0	1	1	2.9509589e-06	-6.8396224e-05	-9.6985119e-07	-6.8417739e-05	1.5198319e-06	5.55928e-07	-9.7885925e-07	6.0110199e-07	-3.1364119e-07	-1.3857165e-06	4.8090265e-07	-6.8396224e-05	-6.8367431e-05	-0.00042114718
-0.016	1	-0.016	0	-0	1	-0	-0	-0	1	1	3.8280243e-06	-7.8051214e-05	-1.1180227e-06	-7.8065814e-05	2.0785317e-06	6.1888104e-07	-1.1265165e-06	6.6971158e-07	-2.6050392e-07	-1.8820173e-06	6.2729404e-07	-7.8051214e-05	-7.801911e-05	-0.00041149441
-0.018	1	-0.018	0	-0	1	-0	-0	-0	1	1	4.788497e-06	-8.76958e-05	-1.2681788e-06	-8.770005e-05	2.6912913e-06	6.7769044e-07	-1.2758029e-06	7.3403857e-07	-1.7744206e-07	-2.4341154e-06	7.9297909e-07	-8.76958e-05	-8.7660167e-05	-0.00040648291
