lambda	F11	F12	F13	F21	F22	F23	F31	F32	F33	J	P11	P12	P13	P21	P22	P23	P31	P32	P33	p	StrEn	t(1)	t(2)	d
0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	-0	0	inf	inf	inf
0.002	1.002	0	0	0	1.00066	0	0	0	0.99799588	1.0006519	4.8594083e-06	2.4478166e-08	-1.2950556e-08	2.3736599e-08	3.2027235e-06	5.1133209e-08	-1.4189755e-08	5.05908e-08	6.0483427e-10	-2.6875789e-06	5.9243236e-09	5.9156698e-06	5.7867857e-06	-0.022272141
0.004	1.004	0	0	0	1.00132	0	0	0	0.99578588	1.0010887	9.1735478e-06	4.9523325e-08	-1.9321389e-08	4.8610322e-08	5.758295e-06	1.2242678e-07	-1.9937074e-08	1.2178413e-07	2.6990143e-09	-4.9781806e-06	2.3147143e-08	1.10706e-05	1.0832929e-05	-0.021939646
0.006	1.006	0	0	0	1.00198	0	0	0	0.99327532	1.0012135	1.2536159e-05	8.1261699e-08	-1.753354e-08	8.0292364e-08	7.3313127e-06	2.2624254e-07	-1.6036694e-08	2.2588131e-07	5.989103e-09	-6.6244869e-06	4.9256041e-08	1.4947827e-05	1.4885989e-05	-0.0041541141
0.008	1.008	0	0	0	1.00264	0	0	0	0.99066665	1.0012283	1.5645228e-05	1.1531188e-07	-1.3687914e-08	1.1412567e-07	8.6392529e-06	3.3979936e-07	-1.0308552e-08	3.3884117e-07	8.8617626e-09	-8.0977808e-06	8.2691099e-08	1.8484543e-05	1.8466692e-05	-0.00096662345
0.01	1.01	0	0	0	1.0033	0	0	0	0.98802185	1.0011951	1.8706219e-05	1.4945613e-07	-9.5713392e-09	1.4796018e-07	9.8926291e-06	4.5565093e-07	-4.6019225e-09	4.5316273e-07	1.1274707e-08	-9.5367076e-06	1.2312281e-07	2.1955814e-05	2.1947895e-05	-0.00036080421
0.012	1.012	0	0	0	1.00396	0	0	0	0.9853546	1.0011277	2.1757048e-05	1.8298211e-07	-5.5464172e-09	1.8109627e-07	1.1132384e-05	5.722773e-07	7.9262347e-10	5.6734125e-07	1.3355271e-08	-1.0967596e-05	1.7048268e-07	2.5412863e-05	2.5408679e-05	-0.00016469911
0.014	1.014	0	0	0	1.00462	0	0	0	0.98266939	1.0010303	2.4807269e-05	2.1576024e-07	-1.6419239e-09	2.1338619e-07	1.236975e-05	6.8923239e-07	5.867643e-09	6.8094317e-07	1.5190628e-08	-1.2397403e-05	2.2475752e-07	2.886883e-05	2.8866793e-05	-7.0568767e-05
0.016	1.016	0	0	0	1.00528	0	0	0	0.97996806	1.0009046	2.7859942e-05	2.4784941e-07	2.1673849e-09	2.4487444e-07	1.3608535e-05	8.0633688e-07	1.0655507e-08	7.9380576e-07	1.6837566e-08	-1.3828438e-05	2.8594985e-07	3.2327953e-05	3.2327515e-05	-1.3535627e-05
0.018	1.018	0	0	0	1.00594	0	0	0	0.97725149	1.0007514	3.0916235e-05	2.7934424e-07	5.9047814e-09	2.7564603e-07	1.4850233e-05	9.2349949e-07	1.5185469e-08	9.0585499e-07	1.8334389e-08	-1.5261601e-05	3.5406758e-07	3.579184e-05	3.5792751e-05	2.5440004e-05
