lambda	F11	F12	F13	F21	F22	F23	F31	F32	F33	J	P11	P12	P13	P21	P22	P23	P31	P32	P33	p	StrEn	t(1)	t(2)	d
0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	-0	0	inf	inf	inf
0.002	1.002	0	0	0	1.002	0	0	0	0.99975415	1.0037572	1.5827673e-05	1.0508478e-07	-1.2817679e-07	1.0617709e-07	1.5381314e-05	9.2786404e-08	-1.1347543e-07	1.0237979e-07	4.7601109e-09	-1.0404582e-05	3.1024495e-08	3.1208366e-05	3.1403279e-05	0.0062067795
0.004	1.004	0	0	0	1.004	0	0	0	0.99947877	1.0074906	3.2185371e-05	2.1675317e-07	-2.8319254e-07	2.1969016e-07	3.130923e-05	1.4106322e-07	-2.5475254e-07	1.5654346e-07	8.6177711e-09	-2.116774e-05	1.2561312e-07	6.3493369e-05	6.3660648e-05	0.0026276593
0.006	1.006	0	0	0	1.006	0	0	0	0.99918237	1.0112085	4.8953487e-05	3.3564932e-07	-4.433284e-07	3.4054501e-07	4.7673063e-05	1.6009134e-07	-4.0265713e-07	1.7923836e-07	1.1651811e-08	-3.2212734e-05	2.8566709e-07	9.6624779e-05	9.6766679e-05	0.0014664158
0.008	1.008	0	0	0	1.008	0	0	0	0.99887067	1.0149165	6.6039265e-05	4.5936669e-07	-5.9703754e-07	4.660757e-07	6.4382705e-05	1.6316581e-07	-5.4560861e-07	1.8443558e-07	1.3972208e-08	-4.3478647e-05	5.1267983e-07	0.00013041975	0.00013053965	0.00091846483
0.01	1.01	0	0	0	1.01	0	0	0	0.99854753	1.0186183	8.3372806e-05	5.8500165e-07	-7.4037407e-07	5.9330851e-07	8.1367901e-05	1.5827922e-07	-6.7936405e-07	1.805917e-07	1.5674311e-08	-5.4918794e-05	8.0782568e-07	0.00016473814	0.00016483938	0.00061417514
0.012	1.012	0	0	0	1.012	0	0	0	0.99821558	1.0223165	0.0001009024	7.1027246e-07	-8.7309583e-07	7.1997418e-07	9.8575217e-05	1.4960874e-07	-8.0335144e-07	1.7220413e-07	1.6835151e-08	-6.6498149e-05	1.1720374e-06	0.00019947479	0.00019956023	0.00042816637
0.014	1.014	0	0	0	1.014	0	0	0	0.99787669	1.0260128	0.00011858982	8.3366714e-07	-9.9632052e-07	8.445949e-07	0.00011596417	1.392119e-07	-9.1842128e-07	1.6154451e-07	1.7517823e-08	-7.8190502e-05	1.6060666e-06	0.000234551	0.00023462296	0.00030670429
0.016	1.016	0	0	0	1.016	0	0	0	0.99753221	1.0297086	0.0001364066	9.5427856e-07	-1.111476e-06	9.662954e-07	0.00013350387	1.2806937e-07	-1.0258118e-06	1.4973292e-07	1.7775244e-08	-8.9976079e-05	2.1105292e-06	0.00026990738	0.00026996768	0.00022335923
0.018	1.018	0	0	0	1.018	0	0	0	0.99718314	1.0334048	0.00015433117	1.0716081e-06	-1.2199079e-06	1.0846005e-06	0.00015117047	1.1663236e-07	-1.1267424e-06	1.3731061e-07	1.7652465e-08	-0.00010183976	2.6859373e-06	0.00030549854	0.00030554862	0.00016387992
