lambda	F11	F12	F13	F21	F22	F23	F31	F32	F33	J	P11	P12	P13	P21	P22	P23	P31	P32	P33	p	StrEn	t(1)	t(2)	d
0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	-0	0	inf	inf	inf
-0.002	0.998	0	0	0	0.998	0	0	0	1.0034565	0.99944664	-8.6835262e-07	2.1493929e-08	-8.4038915e-09	2.1348738e-08	-8.4784093e-07	1.4300626e-08	-5.9171546e-09	1.6888908e-08	1.8484249e-09	5.7144837e-07	1.6408977e-09	-1.7193046e-06	-1.7488041e-06	0.01686839
-0.004	0.996	0	0	0	0.996	0	0	0	1.0067323	0.9986945	-1.8310276e-06	4.4831139e-08	-1.9658645e-08	4.3719718e-08	-1.8298363e-06	4.1641078e-08	-1.5935879e-08	4.6791774e-08	2.7626414e-09	1.2193671e-06	6.9952163e-09	-3.6653423e-06	-3.661321e-06	-0.0010983057
-0.006	0.994	0	0	0	0.994	0	0	0	1.0099406	0.99785767	-2.8129633e-06	7.0607192e-08	-3.3870316e-08	6.8572921e-08	-2.8317851e-06	7.4776447e-08	-3.0103776e-08	8.1802307e-08	2.6199874e-09	1.8807095e-06	1.6286182e-08	-5.6489258e-06	-5.6356885e-06	-0.0023488418
-0.008	0.992	0	0	0	0.992	0	0	0	1.01311	0.99696507	-3.7925895e-06	9.936521e-08	-5.1385693e-08	9.6694594e-08	-3.8292716e-06	1.122841e-07	-4.8080791e-08	1.2104635e-07	2.1016484e-09	2.5399198e-06	2.953797e-08	-7.6251755e-06	-7.60846e-06	-0.0021969709
-0.01	0.99	0	0	0	0.99	0	0	0	1.0162488	0.99602544	-4.7618696e-06	1.3181186e-07	-7.2764008e-08	1.2881893e-07	-4.814901e-06	1.5419061e-07	-7.0218651e-08	1.6485973e-07	1.4493925e-09	3.1917737e-06	4.6720022e-08	-9.5790348e-06	-9.5606339e-06	-0.0019246577
-0.012	0.988	0	0	0	0.988	0	0	0	1.0193587	0.99504091	-5.7169348e-06	1.6891103e-07	-9.8822152e-08	1.6590235e-07	-5.7853259e-06	2.0129446e-07	-9.7331828e-08	2.1422571e-07	7.1191635e-10	3.8338496e-06	6.7780506e-08	-1.1503362e-05	-1.1483948e-05	-0.001690586
-0.014	0.986	0	0	0	0.986	0	0	0	1.0224377	0.99400989	-6.6551835e-06	2.1198576e-07	-1.3079069e-07	2.0928202e-07	-6.7381994e-06	2.5524155e-07	-1.3074073e-07	2.709389e-07	-1.4647639e-10	4.4645098e-06	9.2655812e-08	-1.3393159e-05	-1.3372923e-05	-0.0015131808
-0.016	0.984	0	0	0	0.984	0	0	0	1.0254794	0.99292658	-7.5738549e-06	2.6276649e-07	-1.7065053e-07	2.6075525e-07	-7.6708139e-06	3.1903391e-07	-1.725809e-07	3.3817402e-07	-1.2168507e-09	5.0819619e-06	1.212722e-07	-1.5242834e-05	-1.522153e-05	-0.0013995932
-0.018	0.982	0	0	0	0.982	0	0	0	1.0284689	0.99177729	-8.4684266e-06	3.2305549e-07	-2.2188399e-07	3.2229446e-07	-8.5784907e-06	3.9813261e-07	-2.2657211e-07	4.2165123e-07	-2.6580091e-09	5.6831918e-06	1.5354193e-07	-1.7043003e-05	-1.7019418e-05	-0.0013857281
