lambda	F11	F12	F13	F21	F22	F23	F31	F32	F33	J	P11	P12	P13	P21	P22	P23	P31	P32	P33	p	StrEn	t(1)	t(2)	d
0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	-0	0	inf	inf	inf
0.002	1.002	0	0	0	0.99938621	0	0	0	0.99941858	1.0008028	1.9524298e-05	-5.2176918e-08	-7.7040712e-08	-3.713756e-08	2.2154411e-09	8.871773e-08	-5.9457261e-08	9.0590724e-08	4.2424534e-09	-6.5102519e-06	1.9501546e-08	1.9522382e-05	1.9559326e-05	0.0018888377
0.004	1.004	0	0	0	0.99877018	0	0	0	0.99883559	1.0015976	3.9215775e-05	-1.0233698e-07	-1.507819e-07	-7.2483883e-08	4.4823165e-09	1.7412196e-07	-1.1582213e-07	1.7772458e-07	8.3794836e-09	-1.3076212e-05	7.8237304e-08	3.9211946e-05	3.925268e-05	0.0010377262
0.006	1.006	0	0	0	0.99815186	0	0	0	0.99825107	1.0023846	5.9048556e-05	-1.5036666e-07	-2.2143526e-07	-1.0592719e-07	6.8025805e-09	2.5647547e-07	-1.6931658e-07	2.6166964e-07	1.2418565e-08	-1.9689259e-05	1.7651226e-07	5.9042815e-05	5.9087345e-05	0.00075362222
0.008	1.008	0	0	0	0.99753121	0	0	0	0.99766507	1.0031637	7.9002909e-05	-1.9617232e-07	-2.8923271e-07	-1.3737016e-07	9.1784591e-09	3.3600991e-07	-2.2017263e-07	3.426634e-07	1.6368281e-08	-2.6342819e-05	3.1458668e-07	7.8995253e-05	7.9043542e-05	0.00061091215
0.01	1.01	0	0	0	0.99690816	0	0	0	0.99707765	1.0039348	9.906353e-05	-2.396759e-07	-3.5440847e-07	-1.6672817e-07	1.1612491e-08	4.129282e-07	-2.6861789e-07	4.2091459e-07	2.0237664e-08	-3.3031793e-05	4.9268643e-07	9.9053954e-05	9.9105955e-05	0.00052469682
0.012	1.012	0	0	0	0.99628265	0	0	0	0.99648885	1.004698	0.00011921834	-2.8081143e-07	-4.1718907e-07	-1.9392742e-07	1.4107558e-08	4.8740783e-07	-3.1486788e-07	4.9660606e-07	2.4035816e-08	-3.9752162e-05	7.110105e-07	0.00011920684	0.00011926251	0.00046682672
0.014	1.014	0	0	0	0.99565459	0	0	0	0.99589871	1.0054531	0.00013945763	-3.1952216e-07	-4.7778832e-07	-2.1890302e-07	1.6666919e-08	5.5960416e-07	-3.591226e-07	5.6989802e-07	2.7771708e-08	-4.6500691e-05	9.6973648e-07	0.00013944419	0.00013950352	0.00042531604
0.016	1.016	0	0	0	0.99502389	0	0	0	0.99530727	1.0062002	0.00015977346	-3.557582e-07	-5.3640499e-07	-2.4159726e-07	1.9294234e-08	6.2965368e-07	-4.0156524e-07	6.4093101e-07	3.1454084e-08	-5.3274736e-05	1.2690246e-06	0.00015975805	0.00015982105	0.00039421222
0.018	1.018	0	0	0	0.99439042	0	0	0	0.99471458	1.0069391	0.00018015918	-3.8947476e-07	-5.9322219e-07	-2.6195809e-07	2.1993604e-08	6.9767677e-07	-4.4236234e-07	7.0982883e-07	3.5091427e-08	-6.0072087e-05	1.6090207e-06	0.00018014178	0.0001802085	0.00037023033
